ID	latitude	longitude	year	pollutant	agency	E_original_Gg	E_lower_Gg	E_upper_Gg	industry
1	-3.666527	-39	2014	PST	EPA	0.0162786402615556	0.0162786402615556	0.0162786402615556	Cimento
2	-3.666527	-39	2015	PST	EPA	0.0171158069532222	0.0171158069532222	0.0171158069532222	Cimento
3	-3.666527	-39	2016	PST	EPA	0.0162667995264444	0.0162667995264444	0.0162667995264444	Cimento
4	-3.666527	-39	2017	PST	EPA	0.0155162395988889	0.0155162395988889	0.0155162395988889	Cimento
5	-3.666527	-39	2018	PST	EPA	0.0144812275963333	0.0144812275963333	0.0144812275963333	Cimento
6	-3.666527	-39	2019	PST	EPA	0.014462668863	0.014462668863	0.014462668863	Cimento
7	-3.666527	-39	2020	PST	EPA	0.0156361415203333	0.0156361415203333	0.0156361415203333	Cimento
8	-3.666527	-39	2021	PST	EPA	0.0183637777883333	0.0183637777883333	0.0183637777883333	Cimento
9	-3.666527	-39	2022	PST	EPA	0.00976274730344444	0.00976274730344444	0.00976274730344444	Cimento
10	-3.666527	-39	2014	MP10	EPA	0.00461727429333333	0.00461727429333333	0.00461727429333333	Cimento
11	-3.666527	-39	2015	MP10	EPA	0.00485472829333333	0.00485472829333333	0.00485472829333333	Cimento
12	-3.666527	-39	2016	MP10	EPA	0.00461391578666667	0.00461391578666667	0.00461391578666667	Cimento
13	-3.666527	-39	2017	MP10	EPA	0.00440102693333333	0.00440102693333333	0.00440102693333333	Cimento
14	-3.666527	-39	2018	MP10	EPA	0.00410745608	0.00410745608	0.00410745608	Cimento
15	-3.666527	-39	2019	MP10	EPA	0.00410219208	0.00410219208	0.00410219208	Cimento
16	-3.666527	-39	2020	MP10	EPA	0.00443503592	0.00443503592	0.00443503592	Cimento
17	-3.666527	-39	2021	MP10	EPA	0.0052087028	0.0052087028	0.0052087028	Cimento
18	-3.666527	-39	2022	MP10	EPA	0.00276910610666667	0.00276910610666667	0.00276910610666667	Cimento
19	-3.666527	-39	2014	NOX	EPA	0.230863714666667	0.230863714666667	0.230863714666667	Cimento
20	-3.666527	-39	2015	NOX	EPA	0.242736414666667	0.242736414666667	0.242736414666667	Cimento
21	-3.666527	-39	2016	NOX	EPA	0.230695789333333	0.230695789333333	0.230695789333333	Cimento
22	-3.666527	-39	2017	NOX	EPA	0.220051346666667	0.220051346666667	0.220051346666667	Cimento
23	-3.666527	-39	2018	NOX	EPA	0.205372804	0.205372804	0.205372804	Cimento
24	-3.666527	-39	2019	NOX	EPA	0.205109604	0.205109604	0.205109604	Cimento
25	-3.666527	-39	2020	NOX	EPA	0.221751796	0.221751796	0.221751796	Cimento
26	-3.666527	-39	2021	NOX	EPA	0.26043514	0.26043514	0.26043514	Cimento
27	-3.666527	-39	2022	NOX	EPA	0.138455305333333	0.138455305333333	0.138455305333333	Cimento
28	-3.666527	-39	2014	CO	EPA	0.0197883184	0.0197883184	0.0197883184	Cimento
29	-3.666527	-39	2015	CO	EPA	0.0208059784	0.0208059784	0.0208059784	Cimento
30	-3.666527	-39	2016	CO	EPA	0.0197739248	0.0197739248	0.0197739248	Cimento
31	-3.666527	-39	2017	CO	EPA	0.018861544	0.018861544	0.018861544	Cimento
32	-3.666527	-39	2018	CO	EPA	0.0176033832	0.0176033832	0.0176033832	Cimento
33	-3.666527	-39	2019	CO	EPA	0.0175808232	0.0175808232	0.0175808232	Cimento
34	-3.666527	-39	2020	CO	EPA	0.0190072968	0.0190072968	0.0190072968	Cimento
35	-3.666527	-39	2021	CO	EPA	0.022323012	0.022323012	0.022323012	Cimento
36	-3.666527	-39	2022	CO	EPA	0.0118675976	0.0118675976	0.0118675976	Cimento
