ID	latitude	longitude	year	pollutant	agency	E_original_Gg	E_lower_Gg	E_upper_Gg	industry
1	-12.62	-38.09	1990	SOX	EEA	0	0	0	Refineries
2	-12.62	-38.09	1991	SOX	EEA	0	0	0	Refineries
3	-12.62	-38.09	1992	SOX	EEA	0	0	0	Refineries
4	-12.62	-38.09	1993	SOX	EEA	0	0	0	Refineries
5	-12.62	-38.09	1994	SOX	EEA	0	0	0	Refineries
6	-12.62	-38.09	1995	SOX	EEA	0.00066578512	0.00033289256	0.0016644628	Refineries
7	-12.62	-38.09	1996	SOX	EEA	0	0	0	Refineries
8	-12.62	-38.09	1997	SOX	EEA	0	0	0	Refineries
9	-12.62	-38.09	1998	SOX	EEA	0	0	0	Refineries
10	-12.62	-38.09	1999	SOX	EEA	0	0	0	Refineries
11	-12.62	-38.09	2000	SOX	EEA	0	0	0	Refineries
12	-12.62	-38.09	2001	SOX	EEA	0	0	0	Refineries
13	-12.62	-38.09	2002	SOX	EEA	0	0	0	Refineries
14	-12.62	-38.09	2003	SOX	EEA	0	0	0	Refineries
15	-12.62	-38.09	2004	SOX	EEA	0	0	0	Refineries
16	-12.62	-38.09	2005	SOX	EEA	0	0	0	Refineries
17	-12.62	-38.09	2006	SOX	EEA	0	0	0	Refineries
18	-12.62	-38.09	2007	SOX	EEA	0	0	0	Refineries
19	-12.62	-38.09	2008	SOX	EEA	0	0	0	Refineries
20	-12.62	-38.09	2009	SOX	EEA	7.74256e-06	3.87128e-06	1.93564e-05	Refineries
21	-12.62	-38.09	2010	SOX	EEA	3.017616e-05	1.508808e-05	7.54404e-05	Refineries
22	-12.62	-38.09	2011	SOX	EEA	6.956208e-05	3.478104e-05	0.0001739052	Refineries
23	-12.62	-38.09	2012	SOX	EEA	0.00010238816	5.119408e-05	0.0002559704	Refineries
24	-12.62	-38.09	2013	SOX	EEA	8.01248e-05	4.00624e-05	0.000200312	Refineries
25	-12.62	-38.09	2014	SOX	EEA	5.195344e-05	2.597672e-05	0.0001298836	Refineries
26	-12.62	-38.09	2015	SOX	EEA	5.669888e-05	2.834944e-05	0.0001417472	Refineries
27	-12.62	-38.09	2016	SOX	EEA	5.627104e-05	2.813552e-05	0.0001406776	Refineries
28	-12.62	-38.09	2017	SOX	EEA	7.923888e-05	3.961944e-05	0.0001980972	Refineries
29	-12.62	-38.09	2018	SOX	EEA	8.691312e-05	4.345656e-05	0.0002172828	Refineries
30	-12.62	-38.09	2019	SOX	EEA	0.00011228112	5.614056e-05	0.0002807028	Refineries
31	-12.62	-38.09	2020	SOX	EEA	0.00014004928	7.002464e-05	0.0003501232	Refineries
32	-12.62	-38.09	2021	SOX	EEA	0.00013748	6.874e-05	0.0003437	Refineries
33	-12.62	-38.09	2022	SOX	EEA	0.0001597624	7.98812e-05	0.000399406	Refineries
34	-12.62	-38.09	2023	SOX	EEA	2.75632e-05	1.37816e-05	6.8908e-05	Refineries
35	-22.89	-43.24	1990	SOX	EEA	0.00062426896	0.00031213448	0.0015606724	Refineries
36	-22.89	-43.24	1991	SOX	EEA	0.00057013824	0.00028506912	0.0014253456	Refineries
37	-22.89	-43.24	1992	SOX	EEA	0.00065315488	0.00032657744	0.0016328872	Refineries
38	-22.89	-43.24	1993	SOX	EEA	0.00064443344	0.00032221672	0.0016110836	Refineries
39	-22.89	-43.24	1994	SOX	EEA	0.00064279712	0.00032139856	0.0016069928	Refineries
40	-22.89	-43.24	1995	SOX	EEA	0.00065070768	0.00032535384	0.0016267692	Refineries
41	-22.89	-43.24	1996	SOX	EEA	0.00065088688	0.00032544344	0.0016272172	Refineries
42	-22.89	-43.24	1997	SOX	EEA	0.0006358576	0.0003179288	0.001589644	Refineries
43	-22.89	-43.24	1998	SOX	EEA	0.00061064192	0.00030532096	0.0015266048	Refineries
44	-22.89	-43.24	1999	SOX	EEA	0.00072659216	0.00036329608	0.0018164804	Refineries
