ID	latitude	longitude	year	pollutant	agency	E_original_Gg	E_lower_Gg	E_upper_Gg	industry
1	-12.62	-38.09	1990	NMVOCs	EPA	0	0	0	Refineries
2	-12.62	-38.09	1991	NMVOCs	EPA	0	0	0	Refineries
3	-12.62	-38.09	1992	NMVOCs	EPA	0	0	0	Refineries
4	-12.62	-38.09	1993	NMVOCs	EPA	0	0	0	Refineries
5	-12.62	-38.09	1994	NMVOCs	EPA	0	0	0	Refineries
6	-12.62	-38.09	1995	NMVOCs	EPA	0.000116512396	0.000116512396	0.000116512396	Refineries
7	-12.62	-38.09	1996	NMVOCs	EPA	0	0	0	Refineries
8	-12.62	-38.09	1997	NMVOCs	EPA	0	0	0	Refineries
9	-12.62	-38.09	1998	NMVOCs	EPA	0	0	0	Refineries
10	-12.62	-38.09	1999	NMVOCs	EPA	0	0	0	Refineries
11	-12.62	-38.09	2000	NMVOCs	EPA	0	0	0	Refineries
12	-12.62	-38.09	2001	NMVOCs	EPA	0	0	0	Refineries
13	-12.62	-38.09	2002	NMVOCs	EPA	0	0	0	Refineries
14	-12.62	-38.09	2003	NMVOCs	EPA	0	0	0	Refineries
15	-12.62	-38.09	2004	NMVOCs	EPA	0	0	0	Refineries
16	-12.62	-38.09	2005	NMVOCs	EPA	0	0	0	Refineries
17	-12.62	-38.09	2006	NMVOCs	EPA	0	0	0	Refineries
18	-12.62	-38.09	2007	NMVOCs	EPA	0	0	0	Refineries
19	-12.62	-38.09	2008	NMVOCs	EPA	0	0	0	Refineries
20	-12.62	-38.09	2009	NMVOCs	EPA	1.354948e-06	1.354948e-06	1.354948e-06	Refineries
21	-12.62	-38.09	2010	NMVOCs	EPA	5.280828e-06	5.280828e-06	5.280828e-06	Refineries
22	-12.62	-38.09	2011	NMVOCs	EPA	1.2173364e-05	1.2173364e-05	1.2173364e-05	Refineries
23	-12.62	-38.09	2012	NMVOCs	EPA	1.7917928e-05	1.7917928e-05	1.7917928e-05	Refineries
24	-12.62	-38.09	2013	NMVOCs	EPA	1.402184e-05	1.402184e-05	1.402184e-05	Refineries
25	-12.62	-38.09	2014	NMVOCs	EPA	9.091852e-06	9.091852e-06	9.091852e-06	Refineries
26	-12.62	-38.09	2015	NMVOCs	EPA	9.922304e-06	9.922304e-06	9.922304e-06	Refineries
27	-12.62	-38.09	2016	NMVOCs	EPA	9.847432e-06	9.847432e-06	9.847432e-06	Refineries
28	-12.62	-38.09	2017	NMVOCs	EPA	1.3866804e-05	1.3866804e-05	1.3866804e-05	Refineries
29	-12.62	-38.09	2018	NMVOCs	EPA	1.5209796e-05	1.5209796e-05	1.5209796e-05	Refineries
30	-12.62	-38.09	2019	NMVOCs	EPA	1.9649196e-05	1.9649196e-05	1.9649196e-05	Refineries
31	-12.62	-38.09	2020	NMVOCs	EPA	2.4508624e-05	2.4508624e-05	2.4508624e-05	Refineries
32	-12.62	-38.09	2021	NMVOCs	EPA	2.4059e-05	2.4059e-05	2.4059e-05	Refineries
33	-12.62	-38.09	2022	NMVOCs	EPA	2.795842e-05	2.795842e-05	2.795842e-05	Refineries
34	-12.62	-38.09	2023	NMVOCs	EPA	4.82356e-06	4.82356e-06	4.82356e-06	Refineries
35	-22.89	-43.24	1990	NMVOCs	EPA	0.000109247068	0.000109247068	0.000109247068	Refineries
36	-22.89	-43.24	1991	NMVOCs	EPA	9.9774192e-05	9.9774192e-05	9.9774192e-05	Refineries
37	-22.89	-43.24	1992	NMVOCs	EPA	0.000114302104	0.000114302104	0.000114302104	Refineries
38	-22.89	-43.24	1993	NMVOCs	EPA	0.000112775852	0.000112775852	0.000112775852	Refineries
39	-22.89	-43.24	1994	NMVOCs	EPA	0.000112489496	0.000112489496	0.000112489496	Refineries
40	-22.89	-43.24	1995	NMVOCs	EPA	0.000113873844	0.000113873844	0.000113873844	Refineries
41	-22.89	-43.24	1996	NMVOCs	EPA	0.000113905204	0.000113905204	0.000113905204	Refineries
42	-22.89	-43.24	1997	NMVOCs	EPA	0.00011127508	0.00011127508	0.00011127508	Refineries
43	-22.89	-43.24	1998	NMVOCs	EPA	0.000106862336	0.000106862336	0.000106862336	Refineries
44	-22.89	-43.24	1999	NMVOCs	EPA	0.000127153628	0.000127153628	0.000127153628	Refineries
45	-22.89	-43.24	2000	NMVOCs	EPA	0.000133816256	0.000133816256	0.000133816256	Refineries
46	-22.89	-43.24	2001	NMVOCs	EPA	0.000160444032	0.000160444032	0.000160444032	Refineries
47	-22.89	-43.24	2002	NMVOCs	EPA	0.000148073688	0.000148073688	0.000148073688	Refineries
48	-22.89	-43.24	2003	NMVOCs	EPA	0.0001667127	0.0001667127	0.0001667127	Refineries
49	-22.89	-43.24	2004	NMVOCs	EPA	0.000162706264	0.000162706264	0.000162706264	Refineries
50	-22.89	-43.24	2005	NMVOCs	EPA	7.3843588e-05	7.3843588e-05	7.3843588e-05	Refineries
