ID	Year	Latitude	Longitude	Production
1	2014	-9,68089	-36	424119,2778
2	2014	-9,776144	-36	424119,2778
3	2015	-9,68089	-36	322128,1111
4	2015	-9,776144	-36	322128,1111
5	2016	-9,68089	-36	236892,7222
6	2016	-9,776144	-36	236892,7222
7	2017	-9,68089	-36	144791,4444
8	2017	-9,776144	-36	144791,4444
9	2018	-9,68089	-36	138169,1667
10	2018	-9,776144	-36	138169,1667
11	2019	-9,68089	-36	240829
12	2019	-9,776144	-36	240829
13	2020	-9,68089	-36	256281,1667
14	2020	-9,776144	-36	256281,1667
15	2021	-9,68089	-36	231124,6667
16	2021	-9,776144	-36	231124,6667
17	2022	-9,68089	-36	113181,7222
18	2022	-9,776144	-36	113181,7222
19	2014	-3,094023	-60	319290,5
20	2014	-3,14782	-60	319290,5
21	2015	-3,094023	-60	333489
22	2015	-3,14782	-60	333489
23	2016	-3,094023	-60	320502,5
24	2016	-3,14782	-60	320502,5
25	2017	-3,094023	-60	279614
26	2017	-3,14782	-60	279614
27	2018	-3,094023	-60	172409,2143
28	2018	-3,14782	-60	172409,2143
29	2019	-3,094023	-60	184693,3571
30	2019	-3,14782	-60	184693,3571
31	2020	-3,094023	-60	313472
32	2020	-3,14782	-60	313472
33	2021	-3,094023	-60	238853
34	2021	-3,14782	-60	238853
35	2022	-3,094023	-60	140653,2857
36	2022	-3,14782	-60	140653,2857
37	2014	-14,199543	-42	384420,1389
38	2014	-10,518571	-40	384420,1389
39	2014	-13,811128	-41	384420,1389
40	2014	-12,718323	-38	384420,1389
41	2015	-14,199543	-42	382548,5556
42	2015	-10,518571	-40	382548,5556
43	2015	-13,811128	-41	382548,5556
44	2015	-12,718323	-38	382548,5556
45	2016	-14,199543	-42	325882,6111
46	2016	-10,518571	-40	325882,6111
47	2016	-13,811128	-41	325882,6111
48	2016	-12,718323	-38	325882,6111
49	2017	-14,199543	-42	311090,2222
50	2017	-10,518571	-40	311090,2222
51	2017	-13,811128	-41	311090,2222
52	2017	-12,718323	-38	311090,2222
53	2018	-14,199543	-42	316128,5833
54	2018	-10,518571	-40	316128,5833
55	2018	-13,811128	-41	316128,5833
56	2018	-12,718323	-38	316128,5833
57	2019	-14,199543	-42	344023,5
58	2019	-10,518571	-40	344023,5
59	2019	-13,811128	-41	344023,5
60	2019	-12,718323	-38	344023,5
61	2020	-14,199543	-42	339137,0833
62	2020	-10,518571	-40	339137,0833
63	2020	-13,811128	-41	339137,0833
64	2020	-12,718323	-38	339137,0833
65	2021	-14,199543	-42	345100,8333
66	2021	-10,518571	-40	345100,8333
67	2021	-13,811128	-41	345100,8333
68	2021	-12,718323	-38	345100,8333
69	2022	-14,199543	-42	198735,1111
70	2022	-10,518571	-40	198735,1111
71	2022	-13,811128	-41	198735,1111
72	2022	-12,718323	-38	198735,1111
73	2014	-3,666527	-39	549675,5111
74	2014	-5,042383	-38	549675,5111
75	2014	-7,333723	-39,305889	549675,5111
76	2014	-3,653844	-39	549675,5111
77	2014	-3,690606	-40	549675,5111
78	2015	-3,666527	-39	577943,8444
79	2015	-5,042383	-38	577943,8444
80	2015	-7,333723	-39,305889	577943,8444
81	2015	-3,653844	-39	577943,8444
82	2015	-3,690606	-40	577943,8444
83	2016	-3,666527	-39	549275,6889
84	2016	-5,042383	-38	549275,6889
85	2016	-7,333723	-39,305889	549275,6889
86	2016	-3,653844	-39	549275,6889
87	2016	-3,690606	-40	549275,6889
88	2017	-3,666527	-39	523931,7778
89	2017	-5,042383	-38	523931,7778
90	2017	-7,333723	-39,305889	523931,7778
91	2017	-3,653844	-39	523931,7778
92	2017	-3,690606	-40	523931,7778
93	2018	-3,666527	-39	488982,8667
94	2018	-5,042383	-38	488982,8667
95	2018	-7,333723	-39,305889	488982,8667
96	2018	-3,653844	-39	488982,8667
97	2018	-3,690606	-40	488982,8667
98	2019	-3,666527	-39	488356,2
99	2019	-5,042383	-38	488356,2
100	2019	-7,333723	-39,305889	488356,2
101	2019	-3,653844	-39	488356,2
102	2019	-3,690606	-40	488356,2
103	2020	-3,666527	-39	527980,4667
104	2020	-5,042383	-38	527980,4667
105	2020	-7,333723	-39,305889	527980,4667
106	2020	-3,653844	-39	527980,4667
107	2020	-3,690606	-40	527980,4667
108	2021	-3,666527	-39	620083,6667
109	2021	-5,042383	-38	620083,6667
110	2021	-7,333723	-39,305889	620083,6667
111	2021	-3,653844	-39	620083,6667
112	2021	-3,690606	-40	620083,6667
113	2022	-3,666527	-39	329655,4889
114	2022	-5,042383	-38	329655,4889
115	2022	-7,333723	-39,305889	329655,4889
116	2022	-3,653844	-39	329655,4889
117	2022	-3,690606	-40	329655,4889
118	2014	-15,572222	-48	2218585
119	2014	-15,586358	-48	2218585
120	2015	-15,572222	-48	2034149
121	2015	-15,586358	-48	2034149
122	2016	-15,572222	-48	1470814
123	2016	-15,586358	-48	1470814
124	2017	-15,572222	-48	1310132,5
125	2017	-15,586358	-48	1310132,5
126	2018	-15,572222	-48	1263874
127	2018	-15,586358	-48	1263874
128	2019	-15,572222	-48	1225377
129	2019	-15,586358	-48	1225377
130	2020	-15,572222	-48	1429955,5
131	2020	-15,586358	-48	1429955,5
132	2021	-15,572222	-48	1540270
133	2021	-15,586358	-48	1540270
134	2022	-15,572222	-48	865677,5
135	2022	-15,586358	-48	865677,5
136	2014	-20,786199	-41,117609	1061470
137	2014	-20,189102	-40	1061470
138	2014	-20,261634	-40	1061470
139	2015	-20,786199	-41,117609	1036713,667
140	2015	-20,189102	-40	1036713,667
141	2015	-20,261634	-40	1036713,667
142	2016	-20,786199	-41,117609	994034
143	2016	-20,189102	-40	994034
144	2016	-20,261634	-40	994034
145	2017	-20,786199	-41,117609	930389,6667
146	2017	-20,189102	-40	930389,6667
147	2017	-20,261634	-40	930389,6667
148	2018	-20,786199	-41,117609	616284
149	2018	-20,189102	-40	616284
150	2018	-20,261634	-40	616284
151	2019	-20,786199	-41,117609	534917
152	2019	-20,189102	-40	534917
153	2019	-20,261634	-40	534917
154	2020	-20,786199	-41,117609	599084,3333
155	2020	-20,189102	-40	599084,3333
156	2020	-20,261634	-40	599084,3333
157	2021	-20,786199	-41,117609	658945,3333
158	2021	-20,189102	-40	658945,3333
159	2021	-20,261634	-40	658945,3333
160	2022	-20,786199	-41,117609	373159
161	2022	-20,189102	-40	373159
162	2022	-20,261634	-40	373159
163	2014	-17,008898	-50	539117,6667
164	2014	-15,787776	-49	539117,6667
165	2014	-17,260086	-50	539117,6667
