ID	Year	Latitude	Longitude	Production
1	1990	-12,62	-38,09	0
2	1991	-12,62	-38,09	0
3	1992	-12,62	-38,09	0
4	1993	-12,62	-38,09	0
5	1994	-12,62	-38,09	0
6	1995	-12,62	-38,09	166446,28
7	1996	-12,62	-38,09	0
8	1997	-12,62	-38,09	0
9	1998	-12,62	-38,09	0
10	1999	-12,62	-38,09	0
11	2000	-12,62	-38,09	0
12	2001	-12,62	-38,09	0
13	2002	-12,62	-38,09	0
14	2003	-12,62	-38,09	0
15	2004	-12,62	-38,09	0
16	2005	-12,62	-38,09	0
17	2006	-12,62	-38,09	0
18	2007	-12,62	-38,09	0
19	2008	-12,62	-38,09	0
20	2009	-12,62	-38,09	1935,64
21	2010	-12,62	-38,09	7544,04
22	2011	-12,62	-38,09	17390,52
23	2012	-12,62	-38,09	25597,04
24	2013	-12,62	-38,09	20031,2
25	2014	-12,62	-38,09	12988,36
26	2015	-12,62	-38,09	14174,72
27	2016	-12,62	-38,09	14067,76
28	2017	-12,62	-38,09	19809,72
29	2018	-12,62	-38,09	21728,28
30	2019	-12,62	-38,09	28070,28
31	2020	-12,62	-38,09	35012,32
32	2021	-12,62	-38,09	34370
33	2022	-12,62	-38,09	39940,6
34	2023	-12,62	-38,09	6890,8
35	1990	-12,62	-38,09	0
36	1991	-12,62	-38,09	0
37	1992	-12,62	-38,09	0
38	1993	-12,62	-38,09	0
39	1994	-12,62	-38,09	0
40	1995	-12,62	-38,09	219946,87
41	1996	-12,62	-38,09	0
42	1997	-12,62	-38,09	0
43	1998	-12,62	-38,09	0
44	1999	-12,62	-38,09	0
45	2000	-12,62	-38,09	0
46	2001	-12,62	-38,09	0
47	2002	-12,62	-38,09	0
48	2003	-12,62	-38,09	0
49	2004	-12,62	-38,09	0
50	2005	-12,62	-38,09	0
51	2006	-12,62	-38,09	0
52	2007	-12,62	-38,09	0
53	2008	-12,62	-38,09	0
54	2009	-12,62	-38,09	2557,81
55	2010	-12,62	-38,09	9968,91
56	2011	-12,62	-38,09	22980,33
57	2012	-12,62	-38,09	33824,66
58	2013	-12,62	-38,09	26469,8
59	2014	-12,62	-38,09	17163,19
60	2015	-12,62	-38,09	18730,88
61	2016	-12,62	-38,09	18589,54
62	2017	-12,62	-38,09	26177,13
