ID	Year	Latitude	Longitude	Production
1	2017	-20,48184967	-47,86622455	51290348,4
2	2018	-20,48184967	-47,86622455	52793056,75
3	2019	-20,48184967	-47,86622455	54912796,73
4	2020	-20,48184967	-47,86622455	54761097,86
5	2017	-15,03297384	-57,21052538	21671978,2
6	2018	-15,03297384	-57,21052538	22306925,39
7	2019	-15,03297384	-57,21052538	23202590,17
8	2020	-15,03297384	-57,21052538	23138492,05
9	2017	-20,74957275	-47,5686176	6068153,895
10	2018	-20,74957275	-47,5686176	6245939,109
11	2019	-20,74957275	-47,5686176	6496725,247
12	2020	-20,74957275	-47,5686176	6478777,775
13	2017	-21,21160967	-48,82963455	45511154,21
14	2018	-21,21160967	-48,82963455	46844543,32
15	2019	-21,21160967	-48,82963455	48725439,35
16	2020	-21,21160967	-48,82963455	48590833,31
17	2017	-22,65729996	-47,21090003	28895970,93
18	2018	-22,65729996	-47,21090003	29742567,18
19	2019	-22,65729996	-47,21090003	30936786,89
20	2020	-22,65729996	-47,21090003	30851322,74
21	2017	-21,11118967	-47,81657455	6501593,459
22	2018	-21,11118967	-47,81657455	6692077,616
23	2019	-21,11118967	-47,81657455	6960777,05
24	2020	-21,11118967	-47,81657455	6941547,616
25	2017	-22,79900328	-47,12506283	8307591,642
26	2018	-22,79900328	-47,12506283	8550988,066
27	2019	-22,79900328	-47,12506283	8894326,231
28	2020	-22,79900328	-47,12506283	8869755,288
29	2017	-22,58236967	-47,52161455	10113589,82
30	2018	-22,58236967	-47,52161455	10409898,51
31	2019	-22,58236967	-47,52161455	10827875,41
32	2020	-22,58236967	-47,52161455	10797962,96
33	2017	-22,41211192	-46,80530719	4189915,784
34	2018	-22,41211192	-46,80530719	4312672,242
35	2019	-22,41211192	-46,80530719	4485834,099
36	2020	-22,41211192	-46,80530719	4473441,797
37	2017	-19,9881	-47,79816	10619269,32
38	2018	-19,9881	-47,79816	10930393,44
39	2019	-19,9881	-47,79816	11369269,18
40	2020	-19,9881	-47,79816	11337861,11
41	2017	-22,57108967	-50,64415455	36842362,93
42	2018	-22,57108967	-50,64415455	37921773,16
43	2019	-22,57108967	-50,64415455	39444403,28
44	2020	-22,57108967	-50,64415455	39335436,49
45	2017	-20,77865967	-48,19187455	11847348,08
46	2018	-20,77865967	-48,19187455	12194452,55
47	2019	-20,77865967	-48,19187455	12684082,62
48	2020	-20,77865967	-48,19187455	12649042,32
49	2017	-21,18146967	-48,64470455	39009560,75
50	2018	-21,18146967	-48,64470455	40152465,7
51	2019	-21,18146967	-48,64470455	41764662,3
52	2020	-21,18146967	-48,64470455	41649285,7
53	2017	-21,76277778	-48,08388889	60681538,95
54	2018	-21,76277778	-48,08388889	62459391,09
55	2019	-21,76277778	-48,08388889	64967252,47
56	2020	-21,76277778	-48,08388889	64787777,75
57	2017	-21,17198178	-47,61886799	25283974,56
58	2018	-21,17198178	-47,61886799	26024746,29
59	2019	-21,17198178	-47,61886799	27069688,53
60	2020	-21,17198178	-47,61886799	26994907,4
61	2017	-22,99734967	-47,52019455	36119963,66
62	2018	-22,99734967	-47,52019455	37178208,98
63	2019	-22,99734967	-47,52019455	38670983,61
64	2020	-22,99734967	-47,52019455	38564153,42
65	2017	-21,32896867	-50,95548817	5779194,185
66	2018	-21,32896867	-50,95548817	5948513,437
67	2019	-21,32896867	-50,95548817	6187357,378
68	2020	-21,32896867	-50,95548817	6170264,548
69	2017	-8,55789966	-35,53499455	4313524,413
70	2018	-8,55789966	-35,53499455	4644150,917
71	2019	-8,55789966	-35,53499455	4014106,404
72	2020	-8,55789966	-35,53499455	4134225,554
73	2017	-20,61331879	-48,00080787	70072729,5
74	2018	-20,61331879	-48,00080787	72125725,42
75	2019	-20,61331879	-48,00080787	75021708,21
76	2020	-20,61331879	-48,00080787	74814457,64
77	2017	-20,93854716	-48,25026517	31063168,75
78	2018	-20,93854716	-48,25026517	31973259,72
79	2019	-20,93854716	-48,25026517	33257045,91
80	2020	-20,93854716	-48,25026517	33165171,94
81	2017	-22,4264	-47,3575	29437770,38
82	2018	-22,4264	-47,3575	30300240,32
83	2019	-22,4264	-47,3575	31516851,64
84	2020	-22,4264	-47,3575	31429785,04
85	2017	-22,48351967	-48,77101455	58008661,64
86	2018	-22,48351967	-48,77101455	59708203,62
87	2019	-22,48351967	-48,77101455	62105599,68
88	2020	-22,48351967	-48,77101455	61934030,4
89	2017	-22,81638889	-47,56805556	3467516,511
90	2018	-22,81638889	-47,56805556	3569108,062
91	2019	-22,81638889	-47,56805556	3712414,427
92	2020	-22,81638889	-47,56805556	3702158,729
93	2017	-21,88559823	-47,30533168	50567949,12
94	2018	-21,88559823	-47,30533168	52049492,57
95	2019	-21,88559823	-47,30533168	54139377,06
96	2020	-21,88559823	-47,30533168	53989814,79
97	2017	-21,35804889	-48,06558306	52735146,94
98	2018	-21,35804889	-48,06558306	54280185,11
99	2019	-21,35804889	-48,06558306	56459636,07
100	2020	-21,35804889	-48,06558306	56303664
101	2017	-22,62529358	-48,75681592	45438914,28
102	2018	-22,62529358	-48,75681592	46770186,9
103	2019	-22,62529358	-48,75681592	48648097,38
104	2020	-22,62529358	-48,75681592	48513705,01
105	2017	-22,17216	-47,33762	28607011,22
106	2018	-22,17216	-47,33762	29445141,51
107	2019	-22,17216	-47,33762	30627419,02
108	2020	-22,17216	-47,33762	30542809,51
109	2017	-23,23834547	-47,61332578	996910,997
110	2018	-23,23834547	-47,61332578	1026118,568
111	2019	-23,23834547	-47,61332578	1067319,148
112	2020	-23,23834547	-47,61332578	1064370,635
113	2017	-23,1615	-47,7832	2745117,238
114	2018	-23,1615	-47,7832	2825543,883
115	2019	-23,1615	-47,7832	2938994,755
116	2020	-23,1615	-47,7832	2930875,66
117	2017	-21,1234645	-48,00937689	18204461,68
118	2018	-21,1234645	-48,00937689	18737817,33
119	2019	-21,1234645	-48,00937689	19490175,74
120	2020	-21,1234645	-48,00937689	19436333,33
121	2017	-21,56486967	-50,95939455	8668791,278
122	2018	-21,56486967	-50,95939455	8922770,155
123	2019	-21,56486967	-50,95939455	9281036,067
124	2020	-21,56486967	-50,95939455	9255396,822
125	2017	-21,00071945	-48,02481713	7946392,005
126	2018	-21,00071945	-48,02481713	8179205,976
127	2019	-21,00071945	-48,02481713	8507616,395
128	2020	-21,00071945	-48,02481713	8484113,753
129	2017	-22,76160992	-47,47835995	2600637,383
130	2018	-22,76160992	-47,47835995	2676831,047
131	2019	-22,76160992	-47,47835995	2784310,82
132	2020	-22,76160992	-47,47835995	2776619,047
133	2017	-21,33718967	-48,29298455	30340769,47
134	2018	-21,33718967	-48,29298455	31229695,54
135	2019	-21,33718967	-48,29298455	32483626,23
136	2020	-21,33718967	-48,29298455	32393888,88
137	2017	-21,04088967	-48,71079455	20227179,65
138	2018	-21,04088967	-48,71079455	20819797,03
139	2019	-21,04088967	-48,71079455	21655750,82
140	2020	-21,04088967	-48,71079455	21595925,92
141	2017	-21,8318	-47,7505	2889597,093
142	2018	-21,8318	-47,7505	2974256,718
143	2019	-21,8318	-47,7505	3093678,689
144	2020	-21,8318	-47,7505	3085132,274
145	2017	-17,61731817	-54,76151625	25283974,56
146	2018	-17,61731817	-54,76151625	26024746,29
147	2019	-17,61731817	-54,76151625	27069688,53
148	2020	-17,61731817	-54,76151625	26994907,4
149	2017	-21,46899111	-47,00717112	5056794,912
150	2018	-21,46899111	-47,00717112	5204949,257
151	2019	-21,46899111	-47,00717112	5413937,706
152	2020	-21,46899111	-47,00717112	5398981,479
153	2017	-22,67166667	-48,5425	10691509,24
154	2018	-22,67166667	-48,5425	11004749,86
155	2019	-22,67166667	-48,5425	11446611,15
156	2020	-22,67166667	-48,5425	11414989,41
157	2017	-21,03749824	-47,96999857	2889597,093
158	2018	-21,03749824	-47,96999857	2974256,718
159	2019	-21,03749824	-47,96999857	3093678,689
160	2020	-21,03749824	-47,96999857	3085132,274
161	2017	-21,11899966	-47,99945455	2889597,093
162	2018	-21,11899966	-47,99945455	2974256,718
163	2019	-21,11899966	-47,99945455	3093678,689
164	2020	-21,11899966	-47,99945455	3085132,274
165	2017	-20,96691	-40,9468	2311677,674
166	2018	-20,96691	-40,9468	2379405,375
167	2019	-20,96691	-40,9468	2474942,951
168	2020	-20,96691	-40,9468	2468105,819
169	2017	-21,972011	-46,796351	50567949,12
170	2018	-21,972011	-46,796351	52049492,57
171	2019	-21,972011	-46,796351	54139377,06
172	2020	-21,972011	-46,796351	53989814,79
173	2017	-21,45893584	-50,79378571	4912315,058
174	2018	-21,45893584	-50,79378571	5056236,421
175	2019	-21,45893584	-50,79378571	5259253,771
176	2020	-21,45893584	-50,79378571	5244724,866
