ID	Source	State	Number_of_factories_per_state	Municipality	year	Factory_Name	lat	long	fabricated_cement	Unit
1	Produção cimento	Alagoas	2	Marechal Deodoro	2014	CIMENTO ZUMBI, Marechal Deodoro - AL	-9,68089	-36	424119,2778	t clínquer
2	Produção cimento	Alagoas	2	São Miguel dos Campos	2014	INTERCEMENT, São Miguel dos Campos - AL	-9,776144	-36	424119,2778	t clínquer
3	Produção cimento	Alagoas	2	Marechal Deodoro	2015	CIMENTO ZUMBI, Marechal Deodoro - AL	-9,68089	-36	322128,1111	t clínquer
4	Produção cimento	Alagoas	2	São Miguel dos Campos	2015	INTERCEMENT, São Miguel dos Campos - AL	-9,776144	-36	322128,1111	t clínquer
5	Produção cimento	Alagoas	2	Marechal Deodoro	2016	CIMENTO ZUMBI, Marechal Deodoro - AL	-9,68089	-36	236892,7222	t clínquer
6	Produção cimento	Alagoas	2	São Miguel dos Campos	2016	INTERCEMENT, São Miguel dos Campos - AL	-9,776144	-36	236892,7222	t clínquer
7	Produção cimento	Alagoas	2	Marechal Deodoro	2017	CIMENTO ZUMBI, Marechal Deodoro - AL	-9,68089	-36	144791,4444	t clínquer
8	Produção cimento	Alagoas	2	São Miguel dos Campos	2017	INTERCEMENT, São Miguel dos Campos - AL	-9,776144	-36	144791,4444	t clínquer
9	Produção cimento	Alagoas	2	Marechal Deodoro	2018	CIMENTO ZUMBI, Marechal Deodoro - AL	-9,68089	-36	138169,1667	t clínquer
10	Produção cimento	Alagoas	2	São Miguel dos Campos	2018	INTERCEMENT, São Miguel dos Campos - AL	-9,776144	-36	138169,1667	t clínquer
11	Produção cimento	Alagoas	2	Marechal Deodoro	2019	CIMENTO ZUMBI, Marechal Deodoro - AL	-9,68089	-36	240829	t clínquer
12	Produção cimento	Alagoas	2	São Miguel dos Campos	2019	INTERCEMENT, São Miguel dos Campos - AL	-9,776144	-36	240829	t clínquer
13	Produção cimento	Alagoas	2	Marechal Deodoro	2020	CIMENTO ZUMBI, Marechal Deodoro - AL	-9,68089	-36	256281,1667	t clínquer
14	Produção cimento	Alagoas	2	São Miguel dos Campos	2020	INTERCEMENT, São Miguel dos Campos - AL	-9,776144	-36	256281,1667	t clínquer
15	Produção cimento	Alagoas	2	Marechal Deodoro	2021	CIMENTO ZUMBI, Marechal Deodoro - AL	-9,68089	-36	231124,6667	t clínquer
16	Produção cimento	Alagoas	2	São Miguel dos Campos	2021	INTERCEMENT, São Miguel dos Campos - AL	-9,776144	-36	231124,6667	t clínquer
17	Produção cimento	Alagoas	2	Marechal Deodoro	2022	CIMENTO ZUMBI, Marechal Deodoro - AL	-9,68089	-36	113181,7222	t clínquer
