ID	dealership	latitude	longitude	source	year	processed_m3
1	DAX OIL	-12.62	-38.09	Catalytic reforming unit	1990	0
2	DAX OIL	-12.62	-38.09	Catalytic reforming unit	1991	0
3	DAX OIL	-12.62	-38.09	Catalytic reforming unit	1992	0
4	DAX OIL	-12.62	-38.09	Catalytic reforming unit	1993	0
5	DAX OIL	-12.62	-38.09	Catalytic reforming unit	1994	0
6	DAX OIL	-12.62	-38.09	Catalytic reforming unit	1995	166446.28
7	DAX OIL	-12.62	-38.09	Catalytic reforming unit	1996	0
8	DAX OIL	-12.62	-38.09	Catalytic reforming unit	1997	0
9	DAX OIL	-12.62	-38.09	Catalytic reforming unit	1998	0
10	DAX OIL	-12.62	-38.09	Catalytic reforming unit	1999	0
11	DAX OIL	-12.62	-38.09	Catalytic reforming unit	2000	0
12	DAX OIL	-12.62	-38.09	Catalytic reforming unit	2001	0
13	DAX OIL	-12.62	-38.09	Catalytic reforming unit	2002	0
14	DAX OIL	-12.62	-38.09	Catalytic reforming unit	2003	0
15	DAX OIL	-12.62	-38.09	Catalytic reforming unit	2004	0
16	DAX OIL	-12.62	-38.09	Catalytic reforming unit	2005	0
17	DAX OIL	-12.62	-38.09	Catalytic reforming unit	2006	0
18	DAX OIL	-12.62	-38.09	Catalytic reforming unit	2007	0
19	DAX OIL	-12.62	-38.09	Catalytic reforming unit	2008	0
20	DAX OIL	-12.62	-38.09	Catalytic reforming unit	2009	1935.64
21	DAX OIL	-12.62	-38.09	Catalytic reforming unit	2010	7544.04
22	DAX OIL	-12.62	-38.09	Catalytic reforming unit	2011	17390.52
23	DAX OIL	-12.62	-38.09	Catalytic reforming unit	2012	25597.04
24	DAX OIL	-12.62	-38.09	Catalytic reforming unit	2013	20031.2
25	DAX OIL	-12.62	-38.09	Catalytic reforming unit	2014	12988.36
26	DAX OIL	-12.62	-38.09	Catalytic reforming unit	2015	14174.72
27	DAX OIL	-12.62	-38.09	Catalytic reforming unit	2016	14067.76
28	DAX OIL	-12.62	-38.09	Catalytic reforming unit	2017	19809.72
29	DAX OIL	-12.62	-38.09	Catalytic reforming unit	2018	21728.28
30	DAX OIL	-12.62	-38.09	Catalytic reforming unit	2019	28070.28
31	DAX OIL	-12.62	-38.09	Catalytic reforming unit	2020	35012.32
32	DAX OIL	-12.62	-38.09	Catalytic reforming unit	2021	34370
33	DAX OIL	-12.62	-38.09	Catalytic reforming unit	2022	39940.6
34	DAX OIL	-12.62	-38.09	Catalytic reforming unit	2023	6890.8
35	DAX OIL	-12.62	-38.09	Fluid Catalytic Cracking Unit (FCC)	1990	0
36	DAX OIL	-12.62	-38.09	Fluid Catalytic Cracking Unit (FCC)	1991	0
37	DAX OIL	-12.62	-38.09	Fluid Catalytic Cracking Unit (FCC)	1992	0
38	DAX OIL	-12.62	-38.09	Fluid Catalytic Cracking Unit (FCC)	1993	0
39	DAX OIL	-12.62	-38.09	Fluid Catalytic Cracking Unit (FCC)	1994	0
40	DAX OIL	-12.62	-38.09	Fluid Catalytic Cracking Unit (FCC)	1995	219946.87
41	DAX OIL	-12.62	-38.09	Fluid Catalytic Cracking Unit (FCC)	1996	0
42	DAX OIL	-12.62	-38.09	Fluid Catalytic Cracking Unit (FCC)	1997	0
43	DAX OIL	-12.62	-38.09	Fluid Catalytic Cracking Unit (FCC)	1998	0
44	DAX OIL	-12.62	-38.09	Fluid Catalytic Cracking Unit (FCC)	1999	0
45	DAX OIL	-12.62	-38.09	Fluid Catalytic Cracking Unit (FCC)	2000	0
46	DAX OIL	-12.62	-38.09	Fluid Catalytic Cracking Unit (FCC)	2001	0
47	DAX OIL	-12.62	-38.09	Fluid Catalytic Cracking Unit (FCC)	2002	0
48	DAX OIL	-12.62	-38.09	Fluid Catalytic Cracking Unit (FCC)	2003	0
49	DAX OIL	-12.62	-38.09	Fluid Catalytic Cracking Unit (FCC)	2004	0
50	DAX OIL	-12.62	-38.09	Fluid Catalytic Cracking Unit (FCC)	2005	0
51	DAX OIL	-12.62	-38.09	Fluid Catalytic Cracking Unit (FCC)	2006	0
52	DAX OIL	-12.62	-38.09	Fluid Catalytic Cracking Unit (FCC)	2007	0
53	DAX OIL	-12.62	-38.09	Fluid Catalytic Cracking Unit (FCC)	2008	0
54	DAX OIL	-12.62	-38.09	Fluid Catalytic Cracking Unit (FCC)	2009	2557.81
55	DAX OIL	-12.62	-38.09	Fluid Catalytic Cracking Unit (FCC)	2010	9968.91
56	DAX OIL	-12.62	-38.09	Fluid Catalytic Cracking Unit (FCC)	2011	22980.33
57	DAX OIL	-12.62	-38.09	Fluid Catalytic Cracking Unit (FCC)	2012	33824.66
58	DAX OIL	-12.62	-38.09	Fluid Catalytic Cracking Unit (FCC)	2013	26469.8
59	DAX OIL	-12.62	-38.09	Fluid Catalytic Cracking Unit (FCC)	2014	17163.19
60	DAX OIL	-12.62	-38.09	Fluid Catalytic Cracking Unit (FCC)	2015	18730.88
61	DAX OIL	-12.62	-38.09	Fluid Catalytic Cracking Unit (FCC)	2016	18589.54
62	DAX OIL	-12.62	-38.09	Fluid Catalytic Cracking Unit (FCC)	2017	26177.13
63	DAX OIL	-12.62	-38.09	Fluid Catalytic Cracking Unit (FCC)	2018	28712.37
64	DAX OIL	-12.62	-38.09	Fluid Catalytic Cracking Unit (FCC)	2019	37092.87
65	DAX OIL	-12.62	-38.09	Fluid Catalytic Cracking Unit (FCC)	2020	46266.28
66	DAX OIL	-12.62	-38.09	Fluid Catalytic Cracking Unit (FCC)	2021	45417.5
67	DAX OIL	-12.62	-38.09	Fluid Catalytic Cracking Unit (FCC)	2022	52778.65
68	DAX OIL	-12.62	-38.09	Fluid Catalytic Cracking Unit (FCC)	2023	9105.7
69	DAX OIL	-12.62	-38.09	Purge Systems	1990	0
70	DAX OIL	-12.62	-38.09	Purge Systems	1991	0
71	DAX OIL	-12.62	-38.09	Purge Systems	1992	0
72	DAX OIL	-12.62	-38.09	Purge Systems	1993	0
73	DAX OIL	-12.62	-38.09	Purge Systems	1994	0
74	DAX OIL	-12.62	-38.09	Purge Systems	1995	77278.63
75	DAX OIL	-12.62	-38.09	Purge Systems	1996	0
76	DAX OIL	-12.62	-38.09	Purge Systems	1997	0
77	DAX OIL	-12.62	-38.09	Purge Systems	1998	0
78	DAX OIL	-12.62	-38.09	Purge Systems	1999	0
79	DAX OIL	-12.62	-38.09	Purge Systems	2000	0
80	DAX OIL	-12.62	-38.09	Purge Systems	2001	0
81	DAX OIL	-12.62	-38.09	Purge Systems	2002	0
82	DAX OIL	-12.62	-38.09	Purge Systems	2003	0
83	DAX OIL	-12.62	-38.09	Purge Systems	2004	0
84	DAX OIL	-12.62	-38.09	Purge Systems	2005	0
85	DAX OIL	-12.62	-38.09	Purge Systems	2006	0
86	DAX OIL	-12.62	-38.09	Purge Systems	2007	0
87	DAX OIL	-12.62	-38.09	Purge Systems	2008	0
88	DAX OIL	-12.62	-38.09	Purge Systems	2009	898.69
89	DAX OIL	-12.62	-38.09	Purge Systems	2010	3502.59
90	DAX OIL	-12.62	-38.09	Purge Systems	2011	8074.17
91	DAX OIL	-12.62	-38.09	Purge Systems	2012	11884.34
92	DAX OIL	-12.62	-38.09	Purge Systems	2013	9300.2
93	DAX OIL	-12.62	-38.09	Purge Systems	2014	6030.31
94	DAX OIL	-12.62	-38.09	Purge Systems	2015	6581.12
95	DAX OIL	-12.62	-38.09	Purge Systems	2016	6531.46
96	DAX OIL	-12.62	-38.09	Purge Systems	2017	9197.37
97	DAX OIL	-12.62	-38.09	Purge Systems	2018	10088.13
98	DAX OIL	-12.62	-38.09	Purge Systems	2019	13032.63
99	DAX OIL	-12.62	-38.09	Purge Systems	2020	16255.72
100	DAX OIL	-12.62	-38.09	Purge Systems	2021	15957.5
101	DAX OIL	-12.62	-38.09	Purge Systems	2022	18543.85
102	DAX OIL	-12.62	-38.09	Purge Systems	2023	3199.3
103	DAX OIL	-12.62	-38.09	Fugitive Emissions 	1990	0
104	DAX OIL	-12.62	-38.09	Fugitive Emissions 	1991	0
105	DAX OIL	-12.62	-38.09	Fugitive Emissions 	1992	0
106	DAX OIL	-12.62	-38.09	Fugitive Emissions 	1993	0
107	DAX OIL	-12.62	-38.09	Fugitive Emissions 	1994	0
108	DAX OIL	-12.62	-38.09	Fugitive Emissions 	1995	77278.63
109	DAX OIL	-12.62	-38.09	Fugitive Emissions 	1996	0
110	DAX OIL	-12.62	-38.09	Fugitive Emissions 	1997	0
111	DAX OIL	-12.62	-38.09	Fugitive Emissions 	1998	0
112	DAX OIL	-12.62	-38.09	Fugitive Emissions 	1999	0
113	DAX OIL	-12.62	-38.09	Fugitive Emissions 	2000	0
114	DAX OIL	-12.62	-38.09	Fugitive Emissions 	2001	0
115	DAX OIL	-12.62	-38.09	Fugitive Emissions 	2002	0
116	DAX OIL	-12.62	-38.09	Fugitive Emissions 	2003	0
117	DAX OIL	-12.62	-38.09	Fugitive Emissions 	2004	0
118	DAX OIL	-12.62	-38.09	Fugitive Emissions 	2005	0
119	DAX OIL	-12.62	-38.09	Fugitive Emissions 	2006	0
120	DAX OIL	-12.62	-38.09	Fugitive Emissions 	2007	0
121	DAX OIL	-12.62	-38.09	Fugitive Emissions 	2008	0
122	DAX OIL	-12.62	-38.09	Fugitive Emissions 	2009	898.69
123	DAX OIL	-12.62	-38.09	Fugitive Emissions 	2010	3502.59
124	DAX OIL	-12.62	-38.09	Fugitive Emissions 	2011	8074.17
125	DAX OIL	-12.62	-38.09	Fugitive Emissions 	2012	11884.34
126	DAX OIL	-12.62	-38.09	Fugitive Emissions 	2013	9300.2
127	DAX OIL	-12.62	-38.09	Fugitive Emissions 	2014	6030.31
128	DAX OIL	-12.62	-38.09	Fugitive Emissions 	2015	6581.12
129	DAX OIL	-12.62	-38.09	Fugitive Emissions 	2016	6531.46
130	DAX OIL	-12.62	-38.09	Fugitive Emissions 	2017	9197.37
131	DAX OIL	-12.62	-38.09	Fugitive Emissions 	2018	10088.13
132	DAX OIL	-12.62	-38.09	Fugitive Emissions 	2019	13032.63
133	DAX OIL	-12.62	-38.09	Fugitive Emissions 	2020	16255.72
134	DAX OIL	-12.62	-38.09	Fugitive Emissions 	2021	15957.5
135	DAX OIL	-12.62	-38.09	Fugitive Emissions 	2022	18543.85
136	DAX OIL	-12.62	-38.09	Fugitive Emissions 	2023	3199.3
137	PETROBRAS	-3.72	-38.47	Fluid Catalytic Cracking Unit (FCC)	1990	90245.96
138	PETROBRAS	-3.72	-38.47	Fluid Catalytic Cracking Unit (FCC)	1991	87677.05
139	PETROBRAS	-3.72	-38.47	Fluid Catalytic Cracking Unit (FCC)	1992	98976.85
140	PETROBRAS	-3.72	-38.47	Fluid Catalytic Cracking Unit (FCC)	1993	99188.12
