ID	Fuel_type	Granted_power_MW	latitude	longitude	year	Fuel_consumed_plant_GJ
1	Biomass_thermal	71	-20,48184967	-47,86622455	2017	51290348,4
2	Biomass_thermal	71	-20,48184967	-47,86622455	2018	52793056,75
3	Biomass_thermal	71	-20,48184967	-47,86622455	2019	54912796,73
4	Biomass_thermal	71	-20,48184967	-47,86622455	2020	54761097,86
5	Biomass_thermal	30	-15,03297384	-57,21052538	2017	21671978,2
6	Biomass_thermal	30	-15,03297384	-57,21052538	2018	22306925,39
7	Biomass_thermal	30	-15,03297384	-57,21052538	2019	23202590,17
8	Biomass_thermal	30	-15,03297384	-57,21052538	2020	23138492,05
9	Biomass_thermal	8,4	-20,74957275	-47,5686176	2017	6068153,895
10	Biomass_thermal	8,4	-20,74957275	-47,5686176	2018	6245939,109
11	Biomass_thermal	8,4	-20,74957275	-47,5686176	2019	6496725,247
12	Biomass_thermal	8,4	-20,74957275	-47,5686176	2020	6478777,775
13	Biomass_thermal	63	-21,21160967	-48,82963455	2017	45511154,21
14	Biomass_thermal	63	-21,21160967	-48,82963455	2018	46844543,32
15	Biomass_thermal	63	-21,21160967	-48,82963455	2019	48725439,35
16	Biomass_thermal	63	-21,21160967	-48,82963455	2020	48590833,31
17	Biomass_thermal	40	-22,65729996	-47,21090003	2017	28895970,93
18	Biomass_thermal	40	-22,65729996	-47,21090003	2018	29742567,18
19	Biomass_thermal	40	-22,65729996	-47,21090003	2019	30936786,89
20	Biomass_thermal	40	-22,65729996	-47,21090003	2020	30851322,74
21	Biomass_thermal	9	-21,11118967	-47,81657455	2017	6501593,459
22	Biomass_thermal	9	-21,11118967	-47,81657455	2018	6692077,616
23	Biomass_thermal	9	-21,11118967	-47,81657455	2019	6960777,05
24	Biomass_thermal	9	-21,11118967	-47,81657455	2020	6941547,616
25	Biomass_thermal	11,5	-22,79900328	-47,12506283	2017	8307591,642
26	Biomass_thermal	11,5	-22,79900328	-47,12506283	2018	8550988,066
27	Biomass_thermal	11,5	-22,79900328	-47,12506283	2019	8894326,231
28	Biomass_thermal	11,5	-22,79900328	-47,12506283	2020	8869755,288
29	Biomass_thermal	14	-22,58236967	-47,52161455	2017	10113589,82
30	Biomass_thermal	14	-22,58236967	-47,52161455	2018	10409898,51
31	Biomass_thermal	14	-22,58236967	-47,52161455	2019	10827875,41
32	Biomass_thermal	14	-22,58236967	-47,52161455	2020	10797962,96
33	Biomass_thermal	5,8	-22,41211192	-46,80530719	2017	4189915,784
34	Biomass_thermal	5,8	-22,41211192	-46,80530719	2018	4312672,242
35	Biomass_thermal	5,8	-22,41211192	-46,80530719	2019	4485834,099
36	Biomass_thermal	5,8	-22,41211192	-46,80530719	2020	4473441,797
37	Biomass_thermal	14,7	-19,9881	-47,79816	2017	10619269,32
38	Biomass_thermal	14,7	-19,9881	-47,79816	2018	10930393,44
39	Biomass_thermal	14,7	-19,9881	-47,79816	2019	11369269,18
40	Biomass_thermal	14,7	-19,9881	-47,79816	2020	11337861,11
41	Biomass_thermal	51	-22,57108967	-50,64415455	2017	36842362,93
42	Biomass_thermal	51	-22,57108967	-50,64415455	2018	37921773,16
43	Biomass_thermal	51	-22,57108967	-50,64415455	2019	39444403,28
44	Biomass_thermal	51	-22,57108967	-50,64415455	2020	39335436,49
45	Biomass_thermal	16,4	-20,77865967	-48,19187455	2017	11847348,08
46	Biomass_thermal	16,4	-20,77865967	-48,19187455	2018	12194452,55
47	Biomass_thermal	16,4	-20,77865967	-48,19187455	2019	12684082,62
48	Biomass_thermal	16,4	-20,77865967	-48,19187455	2020	12649042,32
49	Biomass_thermal	54	-21,18146967	-48,64470455	2017	39009560,75
50	Biomass_thermal	54	-21,18146967	-48,64470455	2018	40152465,7
51	Biomass_thermal	54	-21,18146967	-48,64470455	2019	41764662,3
52	Biomass_thermal	54	-21,18146967	-48,64470455	2020	41649285,7
53	Biomass_thermal	84	-21,76277778	-48,08388889	2017	60681538,95
54	Biomass_thermal	84	-21,76277778	-48,08388889	2018	62459391,09
55	Biomass_thermal	84	-21,76277778	-48,08388889	2019	64967252,47
56	Biomass_thermal	84	-21,76277778	-48,08388889	2020	64787777,75
57	Biomass_thermal	35	-21,17198178	-47,61886799	2017	25283974,56
58	Biomass_thermal	35	-21,17198178	-47,61886799	2018	26024746,29
59	Biomass_thermal	35	-21,17198178	-47,61886799	2019	27069688,53
60	Biomass_thermal	35	-21,17198178	-47,61886799	2020	26994907,4
61	Biomass_thermal	50	-22,99734967	-47,52019455	2017	36119963,66
62	Biomass_thermal	50	-22,99734967	-47,52019455	2018	37178208,98
63	Biomass_thermal	50	-22,99734967	-47,52019455	2019	38670983,61
64	Biomass_thermal	50	-22,99734967	-47,52019455	2020	38564153,42
65	Biomass_thermal	8	-21,32896867	-50,95548817	2017	5779194,185
66	Biomass_thermal	8	-21,32896867	-50,95548817	2018	5948513,437
67	Biomass_thermal	8	-21,32896867	-50,95548817	2019	6187357,378
68	Biomass_thermal	8	-21,32896867	-50,95548817	2020	6170264,548
69	Biomass_thermal	8	-8,55789966	-35,53499455	2017	4313524,413
70	Biomass_thermal	8	-8,55789966	-35,53499455	2018	4644150,917
71	Biomass_thermal	8	-8,55789966	-35,53499455	2019	4014106,404
72	Biomass_thermal	8	-8,55789966	-35,53499455	2020	4134225,554
73	Biomass_thermal	97	-20,61331879	-48,00080787	2017	70072729,5
74	Biomass_thermal	97	-20,61331879	-48,00080787	2018	72125725,42
75	Biomass_thermal	97	-20,61331879	-48,00080787	2019	75021708,21
76	Biomass_thermal	97	-20,61331879	-48,00080787	2020	74814457,64
77	Biomass_thermal	43	-20,93854716	-48,25026517	2017	31063168,75
78	Biomass_thermal	43	-20,93854716	-48,25026517	2018	31973259,72
79	Biomass_thermal	43	-20,93854716	-48,25026517	2019	33257045,91
80	Biomass_thermal	43	-20,93854716	-48,25026517	2020	33165171,94
81	Biomass_thermal	40,75	-22,4264	-47,3575	2017	29437770,38
82	Biomass_thermal	40,75	-22,4264	-47,3575	2018	30300240,32
83	Biomass_thermal	40,75	-22,4264	-47,3575	2019	31516851,64
84	Biomass_thermal	40,75	-22,4264	-47,3575	2020	31429785,04
85	Biomass_thermal	80,3	-22,48351967	-48,77101455	2017	58008661,64
86	Biomass_thermal	80,3	-22,48351967	-48,77101455	2018	59708203,62
87	Biomass_thermal	80,3	-22,48351967	-48,77101455	2019	62105599,68
88	Biomass_thermal	80,3	-22,48351967	-48,77101455	2020	61934030,4
89	Biomass_thermal	4,8	-22,81638889	-47,56805556	2017	3467516,511
90	Biomass_thermal	4,8	-22,81638889	-47,56805556	2018	3569108,062
91	Biomass_thermal	4,8	-22,81638889	-47,56805556	2019	3712414,427
92	Biomass_thermal	4,8	-22,81638889	-47,56805556	2020	3702158,729
93	Biomass_thermal	70	-21,88559823	-47,30533168	2017	50567949,12
94	Biomass_thermal	70	-21,88559823	-47,30533168	2018	52049492,57
95	Biomass_thermal	70	-21,88559823	-47,30533168	2019	54139377,06
96	Biomass_thermal	70	-21,88559823	-47,30533168	2020	53989814,79
97	Biomass_thermal	73	-21,35804889	-48,06558306	2017	52735146,94
98	Biomass_thermal	73	-21,35804889	-48,06558306	2018	54280185,11
99	Biomass_thermal	73	-21,35804889	-48,06558306	2019	56459636,07
100	Biomass_thermal	73	-21,35804889	-48,06558306	2020	56303664
101	Biomass_thermal	62,9	-22,62529358	-48,75681592	2017	45438914,28
102	Biomass_thermal	62,9	-22,62529358	-48,75681592	2018	46770186,9
103	Biomass_thermal	62,9	-22,62529358	-48,75681592	2019	48648097,38
104	Biomass_thermal	62,9	-22,62529358	-48,75681592	2020	48513705,01
105	Biomass_thermal	39,6	-22,17216	-47,33762	2017	28607011,22
106	Biomass_thermal	39,6	-22,17216	-47,33762	2018	29445141,51
107	Biomass_thermal	39,6	-22,17216	-47,33762	2019	30627419,02
108	Biomass_thermal	39,6	-22,17216	-47,33762	2020	30542809,51
109	Biomass_thermal	1,38	-23,23834547	-47,61332578	2017	996910,997
110	Biomass_thermal	1,38	-23,23834547	-47,61332578	2018	1026118,568
111	Biomass_thermal	1,38	-23,23834547	-47,61332578	2019	1067319,148
112	Biomass_thermal	1,38	-23,23834547	-47,61332578	2020	1064370,635
113	Biomass_thermal	3,8	-23,1615	-47,7832	2017	2745117,238
114	Biomass_thermal	3,8	-23,1615	-47,7832	2018	2825543,883
115	Biomass_thermal	3,8	-23,1615	-47,7832	2019	2938994,755
116	Biomass_thermal	3,8	-23,1615	-47,7832	2020	2930875,66
117	Biomass_thermal	25,2	-21,1234645	-48,00937689	2017	18204461,68
118	Biomass_thermal	25,2	-21,1234645	-48,00937689	2018	18737817,33
119	Biomass_thermal	25,2	-21,1234645	-48,00937689	2019	19490175,74
120	Biomass_thermal	25,2	-21,1234645	-48,00937689	2020	19436333,33
121	Biomass_thermal	12	-21,56486967	-50,95939455	2017	8668791,278
122	Biomass_thermal	12	-21,56486967	-50,95939455	2018	8922770,155
123	Biomass_thermal	12	-21,56486967	-50,95939455	2019	9281036,067
124	Biomass_thermal	12	-21,56486967	-50,95939455	2020	9255396,822
125	Biomass_thermal	11	-21,00071945	-48,02481713	2017	7946392,005
126	Biomass_thermal	11	-21,00071945	-48,02481713	2018	8179205,976
127	Biomass_thermal	11	-21,00071945	-48,02481713	2019	8507616,395
128	Biomass_thermal	11	-21,00071945	-48,02481713	2020	8484113,753
129	Biomass_thermal	3,6	-22,76160992	-47,47835995	2017	2600637,383
130	Biomass_thermal	3,6	-22,76160992	-47,47835995	2018	2676831,047
131	Biomass_thermal	3,6	-22,76160992	-47,47835995	2019	2784310,82
132	Biomass_thermal	3,6	-22,76160992	-47,47835995	2020	2776619,047
133	Biomass_thermal	42	-21,33718967	-48,29298455	2017	30340769,47
134	Biomass_thermal	42	-21,33718967	-48,29298455	2018	31229695,54
135	Biomass_thermal	42	-21,33718967	-48,29298455	2019	32483626,23
136	Biomass_thermal	42	-21,33718967	-48,29298455	2020	32393888,88
137	Biomass_thermal	28	-21,04088967	-48,71079455	2017	20227179,65
138	Biomass_thermal	28	-21,04088967	-48,71079455	2018	20819797,03
139	Biomass_thermal	28	-21,04088967	-48,71079455	2019	21655750,82
140	Biomass_thermal	28	-21,04088967	-48,71079455	2020	21595925,92
141	Biomass_thermal	4	-21,8318	-47,7505	2017	2889597,093
142	Biomass_thermal	4	-21,8318	-47,7505	2018	2974256,718
143	Biomass_thermal	4	-21,8318	-47,7505	2019	3093678,689
144	Biomass_thermal	4	-21,8318	-47,7505	2020	3085132,274
145	Biomass_thermal	35	-17,61731817	-54,76151625	2017	25283974,56
146	Biomass_thermal	35	-17,61731817	-54,76151625	2018	26024746,29
147	Biomass_thermal	35	-17,61731817	-54,76151625	2019	27069688,53
148	Biomass_thermal	35	-17,61731817	-54,76151625	2020	26994907,4
149	Biomass_thermal	7	-21,46899111	-47,00717112	2017	5056794,912
150	Biomass_thermal	7	-21,46899111	-47,00717112	2018	5204949,257
151	Biomass_thermal	7	-21,46899111	-47,00717112	2019	5413937,706
152	Biomass_thermal	7	-21,46899111	-47,00717112	2020	5398981,479
153	Biomass_thermal	14,8	-22,67166667	-48,5425	2017	10691509,24
154	Biomass_thermal	14,8	-22,67166667	-48,5425	2018	11004749,86
155	Biomass_thermal	14,8	-22,67166667	-48,5425	2019	11446611,15
156	Biomass_thermal	14,8	-22,67166667	-48,5425	2020	11414989,41
157	Biomass_thermal	4	-21,03749824	-47,96999857	2017	2889597,093
158	Biomass_thermal	4	-21,03749824	-47,96999857	2018	2974256,718
159	Biomass_thermal	4	-21,03749824	-47,96999857	2019	3093678,689
