ID	latitude	longitude	year	pollutant	agency	E_original_Gg	E_lower_Gg	E_upper_Gg	industry	height
1	-3,200833	-60,007306	2010	NOX	EEA	0,000550222	0,000467689	0,001430577	Paper and pulp	125
2	-3,200833	-60,007306	2010	CO	EEA	0,000302622	3,03E-05	0,00302622	Paper and pulp	125
3	-3,200833	-60,007306	2010	NMVOCs	EEA	0,005502218	0,002751109	0,011004437	Paper and pulp	125
4	-3,200833	-60,007306	2010	SOX	EEA	0,001650665	3,30E-05	0,003301331	Paper and pulp	125
5	-3,200833	-60,007306	2010	TSP	EEA	0,000275111	6,88E-05	0,000825333	Paper and pulp	125
6	-3,200833	-60,007306	2010	PM10	EEA	0,000220089	5,50E-05	0,000660266	Paper and pulp	125
7	-3,200833	-60,007306	2010	PM2,5	EEA	0,000165067	4,13E-05	0,0004952	Paper and pulp	125
8	-3,200833	-60,007306	2010	BC	EEA	4,29E-06	5,36E-07	2,58E-05	Paper and pulp	125
9	-3,129547	-60,007325	2010	NOX	EEA	0,000550222	0,000467689	0,001430577	Paper and pulp	125
10	-3,129547	-60,007325	2010	CO	EEA	0,000302622	3,03E-05	0,00302622	Paper and pulp	125
11	-3,129547	-60,007325	2010	NMVOCs	EEA	0,005502218	0,002751109	0,011004437	Paper and pulp	125
12	-3,129547	-60,007325	2010	SOX	EEA	0,001650665	3,30E-05	0,003301331	Paper and pulp	125
13	-3,129547	-60,007325	2010	TSP	EEA	0,000275111	6,88E-05	0,000825333	Paper and pulp	125
14	-3,129547	-60,007325	2010	PM10	EEA	0,000220089	5,50E-05	0,000660266	Paper and pulp	125
15	-3,129547	-60,007325	2010	PM2,5	EEA	0,000165067	4,13E-05	0,0004952	Paper and pulp	125
16	-3,129547	-60,007325	2010	BC	EEA	4,29E-06	5,36E-07	2,58E-05	Paper and pulp	125
17	-3,108222	-59,959583	2010	NOX	EEA	0,000550222	0,000467689	0,001430577	Paper and pulp	125
18	-3,108222	-59,959583	2010	CO	EEA	0,000302622	3,03E-05	0,00302622	Paper and pulp	125
19	-3,108222	-59,959583	2010	NMVOCs	EEA	0,005502218	0,002751109	0,011004437	Paper and pulp	125
20	-3,108222	-59,959583	2010	SOX	EEA	0,001650665	3,30E-05	0,003301331	Paper and pulp	125
21	-3,108222	-59,959583	2010	TSP	EEA	0,000275111	6,88E-05	0,000825333	Paper and pulp	125
22	-3,108222	-59,959583	2010	PM10	EEA	0,000220089	5,50E-05	0,000660266	Paper and pulp	125
23	-3,108222	-59,959583	2010	PM2,5	EEA	0,000165067	4,13E-05	0,0004952	Paper and pulp	125
24	-3,108222	-59,959583	2010	BC	EEA	4,29E-06	5,36E-07	2,58E-05	Paper and pulp	125
25	-3,115833	-59,964167	2010	NOX	EEA	0,020829412	0,017705	0,054156471	Paper and pulp	125
26	-3,115833	-59,964167	2010	CO	EEA	0,011456176	0,001145618	0,114561765	Paper and pulp	125
27	-3,115833	-59,964167	2010	NMVOCs	EEA	0,208294118	0,104147059	0,416588235	Paper and pulp	125
28	-3,115833	-59,964167	2010	SOX	EEA	0,062488235	0,001249765	0,124976471	Paper and pulp	125
29	-3,115833	-59,964167	2010	TSP	EEA	0,010414706	0,002603676	0,031244118	Paper and pulp	125
30	-3,115833	-59,964167	2010	PM10	EEA	0,008331765	0,002082941	0,024995294	Paper and pulp	125
31	-3,115833	-59,964167	2010	PM2,5	EEA	0,006248824	0,001562206	0,018746471	Paper and pulp	125
32	-3,115833	-59,964167	2010	BC	EEA	0,000162469	2,03E-05	0,000974816	Paper and pulp	125
33	-3,115833	-59,964167	2010	NOX	EEA	0,000550222	0,000467689	0,001430577	Paper and pulp	125
34	-3,115833	-59,964167	2010	CO	EEA	0,000302622	3,03E-05	0,00302622	Paper and pulp	125
35	-3,115833	-59,964167	2010	NMVOCs	EEA	0,005502218	0,002751109	0,011004437	Paper and pulp	125
36	-3,115833	-59,964167	2010	SOX	EEA	0,001650665	3,30E-05	0,003301331	Paper and pulp	125
37	-3,115833	-59,964167	2010	TSP	EEA	0,000275111	6,88E-05	0,000825333	Paper and pulp	125
38	-3,115833	-59,964167	2010	PM10	EEA	0,000220089	5,50E-05	0,000660266	Paper and pulp	125
39	-3,115833	-59,964167	2010	PM2,5	EEA	0,000165067	4,13E-05	0,0004952	Paper and pulp	125
40	-3,115833	-59,964167	2010	BC	EEA	4,29E-06	5,36E-07	2,58E-05	Paper and pulp	125
41	-3,115833	-59,964167	2010	NOX	EEA	0,000550222	0,000467689	0,001430577	Paper and pulp	125
42	-3,115833	-59,964167	2010	CO	EEA	0,000302622	3,03E-05	0,00302622	Paper and pulp	125
43	-3,115833	-59,964167	2010	NMVOCs	EEA	0,005502218	0,002751109	0,011004437	Paper and pulp	125
44	-3,115833	-59,964167	2010	SOX	EEA	0,001650665	3,30E-05	0,003301331	Paper and pulp	125
45	-3,115833	-59,964167	2010	TSP	EEA	0,000275111	6,88E-05	0,000825333	Paper and pulp	125
46	-3,115833	-59,964167	2010	PM10	EEA	0,000220089	5,50E-05	0,000660266	Paper and pulp	125
47	-3,115833	-59,964167	2010	PM2,5	EEA	0,000165067	4,13E-05	0,0004952	Paper and pulp	125
48	-3,115833	-59,964167	2010	BC	EEA	4,29E-06	5,36E-07	2,58E-05	Paper and pulp	125
49	-3,105614	-59,998528	2010	NOX	EEA	0,000550222	0,000467689	0,001430577	Paper and pulp	125
50	-3,105614	-59,998528	2010	CO	EEA	0,000302622	3,03E-05	0,00302622	Paper and pulp	125
51	-3,105614	-59,998528	2010	NMVOCs	EEA	0,005502218	0,002751109	0,011004437	Paper and pulp	125
52	-3,105614	-59,998528	2010	SOX	EEA	0,001650665	3,30E-05	0,003301331	Paper and pulp	125
53	-3,105614	-59,998528	2010	TSP	EEA	0,000275111	6,88E-05	0,000825333	Paper and pulp	125
54	-3,105614	-59,998528	2010	PM10	EEA	0,000220089	5,50E-05	0,000660266	Paper and pulp	125
55	-3,105614	-59,998528	2010	PM2,5	EEA	0,000165067	4,13E-05	0,0004952	Paper and pulp	125
56	-3,105614	-59,998528	2010	BC	EEA	4,29E-06	5,36E-07	2,58E-05	Paper and pulp	125
57	-3,105614	-59,998528	2010	NOX	EEA	0,000550222	0,000467689	0,001430577	Paper and pulp	125
58	-3,105614	-59,998528	2010	CO	EEA	0,000302622	3,03E-05	0,00302622	Paper and pulp	125
59	-3,105614	-59,998528	2010	NMVOCs	EEA	0,005502218	0,002751109	0,011004437	Paper and pulp	125
