ID,latitude,longitude,year,pollutant,agency,E_original_Gg,E_lower_Gg,E_upper_Gg,industry,height
-23.85222205,-50.3902778,2017,NOX,EEA,0.410626574543754,0.392944090472492,0.687652158326861,Power,plant,150
-23.85222205,-50.3902778,2018,NOX,EEA,0.398867203960316,0.381691104268245,0.667959432469429,Power,plant,150
-23.85222205,-50.3902778,2019,NOX,EEA,0.46952234087818,0.449303675481512,0.786281432092646,Power,plant,150
-23.85222205,-50.3902778,2020,NOX,EEA,0.48345495695938,0.462636322449167,0.809613564286043,Power,plant,150
-28.45423334,-48.96906967,2017,NOX,EEA,4.76326826470755,4.55815144948091,7.97676503659159,Power,plant,150
-28.45423334,-48.96906967,2018,NOX,EEA,4.62685956593967,4.42761680951164,7.74832941664538,Power,plant,150
-28.45423334,-48.96906967,2019,NOX,EEA,5.44645915418689,5.21192263558554,9.12086461227469,Power,plant,150
-28.45423334,-48.96906967,2020,NOX,EEA,5.6080775007288,5.36658134041034,9.39151734571809,Power,plant,150
-28.45423333,-48.96906967,2017,NOX,EEA,5.37920812652318,5.14756758518964,9.00824327408188,Power,plant,150
-28.45423333,-48.96906967,2018,NOX,EEA,5.22516037188014,5.00015346591401,8.75026856534952,Power,plant,150
-28.45423333,-48.96906967,2019,NOX,EEA,6.15074266550416,5.88587814880781,10.3002867604137,Power,plant,150
-28.45423333,-48.96906967,2020,NOX,EEA,6.33325993616787,6.06053582408409,10.6059376921472,Power,plant,150
-28.45423334,-48.96906967,2017,NOX,EEA,7.45287232796913,7.13193524207573,12.4808866736325,Power,plant,150
-28.45423334,-48.96906967,2018,NOX,EEA,7.23943975187974,6.92769354246865,12.1234636993201,Power,plant,150
-28.45423334,-48.96906967,2019,NOX,EEA,8.52183048693897,8.15486170998944,14.2710079924815,Power,plant,150
-28.45423334,-48.96906967,2020,NOX,EEA,8.77470746881274,8.39684925245238,14.6944861917917,Power,plant,150
-20.10500226,-44.97695126,2017,NOX,EEA,0,0,0,Power,plant,150
-20.10500226,-44.97695126,2018,NOX,EEA,0,0,0,Power,plant,150
-27.23360025,-52.0317881,2017,NOX,EEA,0.102656643635939,0.098236022618123,0.171913039581715,Power,plant,150
-27.23360025,-52.0317881,2018,NOX,EEA,0.099716800990079,0.0954227760670613,0.166989858117357,Power,plant,150
-27.23360025,-52.0317881,2019,NOX,EEA,0.117380585219545,0.112325918870378,0.196570358023162,Power,plant,150
-27.23360025,-52.0317881,2020,NOX,EEA,0.120863739239845,0.115659080612292,0.202403391071511,Power,plant,150
-1.54139616,-48.7325286,2017,NOX,EEA,1.87454431860008,1.79382231444984,3.13918905028722,Power,plant,150
-1.54139616,-48.7325286,2018,NOX,EEA,1.26115380133919,1.20684574290832,2.11198005008956,Power,plant,150
-1.54139616,-48.7325286,2019,NOX,EEA,1.63292816113782,1.56261068051466,2.73456869090066,Power,plant,150
-1.54139616,-48.7325286,2020,NOX,EEA,1.16600660767202,1.11579579681533,1.95264264442682,Power,plant,150
-2.70675716,-44.35099291,2017,NOX,EEA,1.35734524196204,1.29889496838473,2.27306619467328,Power,plant,150
-2.70675716,-44.35099291,2018,NOX,EEA,0.913193192950751,0.873869084163398,1.52927089728595,Power,plant,150
-2.70675716,-44.35099291,2019,NOX,EEA,1.18239256761958,1.13147614126276,1.98008324720983,Power,plant,150
-2.70675716,-44.35099291,2020,NOX,EEA,0.844297734289827,0.807940415588351,1.41389572727961,Power,plant,150
-2.52462078,-44.29609011,2017,NOX,EEA,6.50040217293198,6.22048054826026,10.8858409594555,Power,plant,150
-2.52462078,-44.29609011,2018,NOX,EEA,4.37333320385246,4.18500785057651,7.3237637385089,Power,plant,150
-2.52462078,-44.29609011,2019,NOX,EEA,5.66254404421295,5.41870243465355,9.4827292606437,Power,plant,150
-2.52462078,-44.29609011,2020,NOX,EEA,4.04338900444063,3.86927177458433,6.77122560552258,Power,plant,150
-3.55240833,-38.80846389,2017,NOX,EEA,28.3441803490332,27.1236175588834,47.466330728046,Power,plant,150
-3.55240833,-38.80846389,2018,NOX,EEA,22.233201700777,21.275791101222,37.2326344271386,Power,plant,150
-3.55240833,-38.80846389,2019,NOX,EEA,22.6942520496216,21.7169876072934,38.0047283127634,Power,plant,150
-3.55240833,-38.80846389,2020,NOX,EEA,10.3826880619447,9.93558666214806,17.3872766587591,Power,plant,150
-31.54575074,-53.65658261,2017,NOX,EEA,7.1859650545157,6.87652158326861,12.0339127707201,Power,plant,150
-31.54575074,-53.65658261,2018,NOX,EEA,6.98017606930553,6.67959432469429,11.689290068215,Power,plant,150
-31.54575074,-53.65658261,2019,NOX,EEA,8.21664096536815,7.86281432092646,13.7599250616213,Power,plant,150
-31.54575074,-53.65658261,2020,NOX,EEA,8.46046174678915,8.09613564286043,14.1682373750057,Power,plant,150
-3.591843,-38.86609011,2017,NOX,EEA,14.3634586662813,13.7449365227572,24.0536389148252,Power,plant,150
-3.591843,-38.86609011,2018,NOX,EEA,11.2667104751575,10.7815411245527,18.8676969679672,Power,plant,150
-3.591843,-38.86609011,2019,NOX,EEA,11.5003484758743,11.0051181587314,19.2589567777799,Power,plant,150
-3.591843,-38.86609011,2020,NOX,EEA,5.26144375974952,5.03487441124356,8.81103021967622,Power,plant,150
-31.45092615,-53.77901991,2017,NOX,EEA,7.08330841087976,6.77828556065049,11.8619997311383,Power,plant,150
-31.45092615,-53.77901991,2018,NOX,EEA,6.88045926831545,6.58417154862723,11.5223002100977,Power,plant,150
-31.45092615,-53.77901991,2019,NOX,EEA,8.09926038014861,7.75048840205608,13.5633547035981,Power,plant,150
-31.45092615,-53.77901991,2020,NOX,EEA,8.3395980075493,7.98047656224813,13.9658339839342,Power,plant,150
-23.85222205,-50.3902778,2017,CO,EEA,0.00170930679355534,0.00120830307820291,0.00294708067854369,Power,plant,150
-23.85222205,-50.3902778,2018,CO,EEA,0.00166035630356687,0.00117370014562485,0.00286268328201184,Power,plant,150
-23.85222205,-50.3902778,2019,CO,EEA,0.00195447098834458,0.00138160880210565,0.00336977756611134,Power,plant,150
-23.85222205,-50.3902778,2020,CO,EEA,0.00201246800265388,0.00142260669153119,0.00346977241836875,Power,plant,150
-28.45423334,-48.96906967,2017,CO,EEA,0.0198279588052419,0.0140163157071538,0.0341861358711068,Power,plant,150
-28.45423334,-48.96906967,2018,CO,EEA,0.0192601331213756,0.0136149216892483,0.0332071260713373,Power,plant,150
-28.45423334,-48.96906967,2019,CO,EEA,0.0226718634647971,0.0160266621044255,0.0390894197668915,Power,plant,150
-28.45423334,-48.96906967,2020,CO,EEA,0.023344628830785,0.0165022376217618,0.0402493600530775,Power,plant,150
-28.45423333,-48.96906967,2017,CO,EEA,0.022391918995575,0.0158287703244582,0.0386067568889223,Power,plant,150
-28.45423333,-48.96906967,2018,CO,EEA,0.0217506675767259,0.0153754719076856,0.0375011509943551,Power,plant,150
-28.45423333,-48.96906967,2019,CO,EEA,0.025603569947314,0.018099075307584,0.0441440861160585,Power,plant,150
-28.45423333,-48.96906967,2020,CO,EEA,0.0263633308347658,0.0186361476590586,0.0454540186806307,Power,plant,150
-28.45423334,-48.96906967,2017,CO,EEA,0.0310239183030294,0.0219307008693829,0.053489514315568,Power,plant,150
-28.45423334,-48.96906967,2018,CO,EEA,0.0301354669097386,0.0213026576430911,0.0519577015685149,Power,plant,150
-28.45423334,-48.96906967,2019,CO,EEA,0.0354736484384541,0.0250761997582175,0.0611614628249208,Power,plant,150
-28.45423334,-48.96906967,2020,CO,EEA,0.0365262942481679,0.0258203114512911,0.0629763693933929,Power,plant,150
-20.10500226,-44.97695126,2017,CO,EEA,0,0,0,Power,plant,150
-20.10500226,-44.97695126,2018,CO,EEA,0,0,0,Power,plant,150
-27.23360025,-52.0317881,2017,CO,EEA,0.000427326698388835,0.000302075769550728,0.000736770169635922,Power,plant,150
-27.23360025,-52.0317881,2018,CO,EEA,0.000415089075891717,0.000293425036406213,0.00071567082050296,Power,plant,150
-27.23360025,-52.0317881,2019,CO,EEA,0.000488617747086144,0.000345402200526412,0.000842444391527835,Power,plant,150
-27.23360025,-52.0317881,2020,CO,EEA,0.000503117000663469,0.000355651672882797,0.000867443104592188,Power,plant,150
-1.54139616,-48.7325286,2017,CO,EEA,0.0078031270678568,0.00551600361693325,0.0134536673583738,Power,plant,150
-1.54139616,-48.7325286,2018,CO,EEA,0.00524977898165119,0.00371105065944308,0.00905134307181239,Power,plant,150
-1.54139616,-48.7325286,2019,CO,EEA,0.00679735646023879,0.00480502784258259,0.01171958010386,Power,plant,150
-1.54139616,-48.7325286,2020,CO,EEA,0.00485371171614667,0.00343107207520713,0.00836846847611495,Power,plant,150
-2.70675716,-44.35099291,2017,CO,EEA,0.00565019311247358,0.00399410202778305,0.00974171226288548,Power,plant,150
-2.70675716,-44.35099291,2018,CO,EEA,0.00380133051611078,0.00268714743380245,0.00655401813122549,Power,plant,150
-2.70675716,-44.35099291,2019,CO,EEA,0.00492192121449301,0.00347928913438299,0.0084860710594707,Power,plant,150
-2.70675716,-44.35099291,2020,CO,EEA,0.00351454080780933,0.00248441677793418,0.00605955311691263,Power,plant,150
-2.52462078,-44.29609011,2017,CO,EEA,0.0270590903849321,0.0191279776859003,0.046653604111952,Power,plant,150
-2.52462078,-44.29609011,2018,CO,EEA,0.0182047841500078,0.0128688991405228,0.0313875588793238,Power,plant,150
-2.52462078,-44.29609011,2019,CO,EEA,0.0235713555907429,0.0166625099865597,0.0406402682599016,Power,plant,150
-2.52462078,-44.29609011,2020,CO,EEA,0.0168313322194419,0.0118980107068468,0.0290195383093825,Power,plant,150
-3.55240833,-38.80846389,2017,CO,EEA,0.117987736381143,0.0834051239935666,0.203427131691626,Power,plant,150
-3.55240833,-38.80846389,2018,CO,EEA,0.0925496912903159,0.0654230576362578,0.159568433259165,Power,plant,150
-3.55240833,-38.80846389,2019,CO,EEA,0.0944688960917262,0.0667797368924271,0.1628774070547,Power,plant,150
-3.55240833,-38.80846389,2020,CO,EEA,0.043219801980344,0.0305519289861053,0.0745168999661104,Power,plant,150
-31.54575074,-53.65658261,2017,CO,EEA,0.0299128688872184,0.021145303868551,0.0515739118745146,Power,plant,150
-31.54575074,-53.65658261,2018,CO,EEA,0.0290562353124202,0.0205397525484349,0.0500969574352072,Power,plant,150
-31.54575074,-53.65658261,2019,CO,EEA,0.0342032422960301,0.0241781540368489,0.0589711074069484,Power,plant,150
-31.54575074,-53.65658261,2020,CO,EEA,0.0352181900464428,0.0248956171017958,0.0607210173214532,Power,plant,150
-3.591843,-38.86609011,2017,CO,EEA,0.059790473873994,0.0422656798074785,0.103087023920679,Power,plant,150
-3.591843,-38.86609011,2018,CO,EEA,0.0468997038918041,0.0331532389579994,0.080861558434145,Power,plant,150
-3.591843,-38.86609011,2019,CO,EEA,0.0478722639904815,0.033840738338099,0.0825383861904853,Power,plant,150
-3.591843,-38.86609011,2020,CO,EEA,0.0219017036889095,0.0154822388145739,0.0377615580843267,Power,plant,150
-31.45092615,-53.77901991,2017,CO,EEA,0.0294855421888296,0.0208432280990002,0.0508371417048786,Power,plant,150
-31.45092615,-53.77901991,2018,CO,EEA,0.0286411462365284,0.0202463275120287,0.0493812866147042,Power,plant,150
-31.45092615,-53.77901991,2019,CO,EEA,0.033714624548944,0.0238327518363225,0.0581286630154206,Power,plant,150
-31.45092615,-53.77901991,2020,CO,EEA,0.0347150730457794,0.024539965428913,0.059853574216861,Power,plant,150
-23.85222205,-50.3902778,2017,NMVOCs,EEA,0.0098236022618123,0.00589416135708738,0.0235766454283495,Power,plant,150
-23.85222205,-50.3902778,2018,NMVOCs,EEA,0.00954227760670613,0.00572536656402368,0.0229014662560947,Power,plant,150
-23.85222205,-50.3902778,2019,NMVOCs,EEA,0.0112325918870378,0.00673955513222268,0.0269582205288907,Power,plant,150
-23.85222205,-50.3902778,2020,NMVOCs,EEA,0.0115659080612292,0.00693954483673751,0.02775817934695,Power,plant,150
-28.45423334,-48.96906967,2017,NMVOCs,EEA,0.113953786237023,0.0683722717422136,0.273489086968854,Power,plant,150
-28.45423334,-48.96906967,2018,NMVOCs,EEA,0.110690420237791,0.0664142521426747,0.265657008570699,Power,plant,150
-28.45423334,-48.96906967,2019,NMVOCs,EEA,0.130298065889638,0.0781788395337831,0.312715358135132,Power,plant,150
-28.45423334,-48.96906967,2020,NMVOCs,EEA,0.134164533510258,0.0804987201061551,0.32199488042462,Power,plant,150
-28.45423333,-48.96906967,2017,NMVOCs,EEA,0.128689189629741,0.0772135137778446,0.308854055111379,Power,plant,150
