ID	latitude	longitude	year	pollutant	agency	E_original_Gg	E_lower_Gg	E_upper_Gg	industry	height
-23,85222205	-50,3902778	2017	NOX	EEA	0,410626575	0,39294409	0,687652158	Power	plant	150
-23,85222205	-50,3902778	2018	NOX	EEA	0,398867204	0,381691104	0,667959432	Power	plant	150
-23,85222205	-50,3902778	2019	NOX	EEA	0,469522341	0,449303675	0,786281432	Power	plant	150
-23,85222205	-50,3902778	2020	NOX	EEA	0,483454957	0,462636322	0,809613564	Power	plant	150
-28,45423334	-48,96906967	2017	NOX	EEA	4,763268265	4,558151449	7,976765037	Power	plant	150
-28,45423334	-48,96906967	2018	NOX	EEA	4,626859566	4,42761681	7,748329417	Power	plant	150
-28,45423334	-48,96906967	2019	NOX	EEA	5,446459154	5,211922636	9,120864612	Power	plant	150
-28,45423334	-48,96906967	2020	NOX	EEA	5,608077501	5,36658134	9,391517346	Power	plant	150
-28,45423333	-48,96906967	2017	NOX	EEA	5,379208127	5,147567585	9,008243274	Power	plant	150
-28,45423333	-48,96906967	2018	NOX	EEA	5,225160372	5,000153466	8,750268565	Power	plant	150
-28,45423333	-48,96906967	2019	NOX	EEA	6,150742666	5,885878149	10,30028676	Power	plant	150
-28,45423333	-48,96906967	2020	NOX	EEA	6,333259936	6,060535824	10,60593769	Power	plant	150
-28,45423334	-48,96906967	2017	NOX	EEA	7,452872328	7,131935242	12,48088667	Power	plant	150
-28,45423334	-48,96906967	2018	NOX	EEA	7,239439752	6,927693542	12,1234637	Power	plant	150
-28,45423334	-48,96906967	2019	NOX	EEA	8,521830487	8,15486171	14,27100799	Power	plant	150
-28,45423334	-48,96906967	2020	NOX	EEA	8,774707469	8,396849252	14,69448619	Power	plant	150
-20,10500226	-44,97695126	2017	NOX	EEA	0	0	0	Power	plant	150
-20,10500226	-44,97695126	2018	NOX	EEA	0	0	0	Power	plant	150
-27,23360025	-52,0317881	2017	NOX	EEA	0,102656644	0,098236023	0,17191304	Power	plant	150
-27,23360025	-52,0317881	2018	NOX	EEA	0,099716801	0,095422776	0,166989858	Power	plant	150
-27,23360025	-52,0317881	2019	NOX	EEA	0,117380585	0,112325919	0,196570358	Power	plant	150
-27,23360025	-52,0317881	2020	NOX	EEA	0,120863739	0,115659081	0,202403391	Power	plant	150
-1,54139616	-48,7325286	2017	NOX	EEA	1,874544319	1,793822314	3,13918905	Power	plant	150
-1,54139616	-48,7325286	2018	NOX	EEA	1,261153801	1,206845743	2,11198005	Power	plant	150
-1,54139616	-48,7325286	2019	NOX	EEA	1,632928161	1,562610681	2,734568691	Power	plant	150
-1,54139616	-48,7325286	2020	NOX	EEA	1,166006608	1,115795797	1,952642644	Power	plant	150
-2,70675716	-44,35099291	2017	NOX	EEA	1,357345242	1,298894968	2,273066195	Power	plant	110
-2,70675716	-44,35099291	2018	NOX	EEA	0,913193193	0,873869084	1,529270897	Power	plant	110
-2,70675716	-44,35099291	2019	NOX	EEA	1,182392568	1,131476141	1,980083247	Power	plant	110
-2,70675716	-44,35099291	2020	NOX	EEA	0,844297734	0,807940416	1,413895727	Power	plant	110
-2,52462078	-44,29609011	2017	NOX	EEA	6,500402173	6,220480548	10,88584096	Power	plant	110
-2,52462078	-44,29609011	2018	NOX	EEA	4,373333204	4,185007851	7,323763739	Power	plant	110
-2,52462078	-44,29609011	2019	NOX	EEA	5,662544044	5,418702435	9,482729261	Power	plant	110
-2,52462078	-44,29609011	2020	NOX	EEA	4,043389004	3,869271775	6,771225606	Power	plant	110
-3,55240833	-38,80846389	2017	NOX	EEA	28,34418035	27,12361756	47,46633073	Power	plant	150
-3,55240833	-38,80846389	2018	NOX	EEA	22,2332017	21,2757911	37,23263443	Power	plant	150
-3,55240833	-38,80846389	2019	NOX	EEA	22,69425205	21,71698761	38,00472831	Power	plant	150
-3,55240833	-38,80846389	2020	NOX	EEA	10,38268806	9,935586662	17,38727666	Power	plant	150
-31,54575074	-53,65658261	2017	NOX	EEA	7,185965055	6,876521583	12,03391277	Power	plant	195
-31,54575074	-53,65658261	2018	NOX	EEA	6,980176069	6,679594325	11,68929007	Power	plant	195
-31,54575074	-53,65658261	2019	NOX	EEA	8,216640965	7,862814321	13,75992506	Power	plant	195
-31,54575074	-53,65658261	2020	NOX	EEA	8,460461747	8,096135643	14,16823738	Power	plant	195
-3,591843	-38,86609011	2017	NOX	EEA	14,36345867	13,74493652	24,05363891	Power	plant	150
-3,591843	-38,86609011	2018	NOX	EEA	11,26671048	10,78154112	18,86769697	Power	plant	150
-3,591843	-38,86609011	2019	NOX	EEA	11,50034848	11,00511816	19,25895678	Power	plant	150
-3,591843	-38,86609011	2020	NOX	EEA	5,26144376	5,034874411	8,81103022	Power	plant	150
-31,45092615	-53,77901991	2017	NOX	EEA	7,083308411	6,778285561	11,86199973	Power	plant	150
-31,45092615	-53,77901991	2018	NOX	EEA	6,880459268	6,584171549	11,52230021	Power	plant	150
-31,45092615	-53,77901991	2019	NOX	EEA	8,09926038	7,750488402	13,5633547	Power	plant	150
-31,45092615	-53,77901991	2020	NOX	EEA	8,339598008	7,980476562	13,96583398	Power	plant	150
-23,85222205	-50,3902778	2017	CO	EEA	0,001709307	0,001208303	0,002947081	Power	plant	150
-23,85222205	-50,3902778	2018	CO	EEA	0,001660356	0,0011737	0,002862683	Power	plant	150
-23,85222205	-50,3902778	2019	CO	EEA	0,001954471	0,001381609	0,003369778	Power	plant	150
-23,85222205	-50,3902778	2020	CO	EEA	0,002012468	0,001422607	0,003469772	Power	plant	150
-28,45423334	-48,96906967	2017	CO	EEA	0,019827959	0,014016316	0,034186136	Power	plant	150
-28,45423334	-48,96906967	2018	CO	EEA	0,019260133	0,013614922	0,033207126	Power	plant	150
-28,45423334	-48,96906967	2019	CO	EEA	0,022671863	0,016026662	0,03908942	Power	plant	150
-28,45423334	-48,96906967	2020	CO	EEA	0,023344629	0,016502238	0,04024936	Power	plant	150
-28,45423333	-48,96906967	2017	CO	EEA	0,022391919	0,01582877	0,038606757	Power	plant	150
-28,45423333	-48,96906967	2018	CO	EEA	0,021750668	0,015375472	0,037501151	Power	plant	150
-28,45423333	-48,96906967	2019	CO	EEA	0,02560357	0,018099075	0,044144086	Power	plant	150
-28,45423333	-48,96906967	2020	CO	EEA	0,026363331	0,018636148	0,045454019	Power	plant	150
-28,45423334	-48,96906967	2017	CO	EEA	0,031023918	0,021930701	0,053489514	Power	plant	150
-28,45423334	-48,96906967	2018	CO	EEA	0,030135467	0,021302658	0,051957702	Power	plant	150
-28,45423334	-48,96906967	2019	CO	EEA	0,035473648	0,0250762	0,061161463	Power	plant	150
-28,45423334	-48,96906967	2020	CO	EEA	0,036526294	0,025820311	0,062976369	Power	plant	150
-20,10500226	-44,97695126	2017	CO	EEA	0	0	0	Power	plant	150
-20,10500226	-44,97695126	2018	CO	EEA	0	0	0	Power	plant	150
-27,23360025	-52,0317881	2017	CO	EEA	0,000427327	0,000302076	0,00073677	Power	plant	150
-27,23360025	-52,0317881	2018	CO	EEA	0,000415089	0,000293425	0,000715671	Power	plant	150
-27,23360025	-52,0317881	2019	CO	EEA	0,000488618	0,000345402	0,000842444	Power	plant	150
-27,23360025	-52,0317881	2020	CO	EEA	0,000503117	0,000355652	0,000867443	Power	plant	150
-1,54139616	-48,7325286	2017	CO	EEA	0,007803127	0,005516004	0,013453667	Power	plant	150
-1,54139616	-48,7325286	2018	CO	EEA	0,005249779	0,003711051	0,009051343	Power	plant	150
-1,54139616	-48,7325286	2019	CO	EEA	0,006797356	0,004805028	0,01171958	Power	plant	150
-1,54139616	-48,7325286	2020	CO	EEA	0,004853712	0,003431072	0,008368468	Power	plant	150
-2,70675716	-44,35099291	2017	CO	EEA	0,005650193	0,003994102	0,009741712	Power	plant	150
-2,70675716	-44,35099291	2018	CO	EEA	0,003801331	0,002687147	0,006554018	Power	plant	150
-2,70675716	-44,35099291	2019	CO	EEA	0,004921921	0,003479289	0,008486071	Power	plant	150
-2,70675716	-44,35099291	2020	CO	EEA	0,003514541	0,002484417	0,006059553	Power	plant	150
-2,52462078	-44,29609011	2017	CO	EEA	0,02705909	0,019127978	0,046653604	Power	plant	150
-2,52462078	-44,29609011	2018	CO	EEA	0,018204784	0,012868899	0,031387559	Power	plant	150
-2,52462078	-44,29609011	2019	CO	EEA	0,023571356	0,01666251	0,040640268	Power	plant	150
-2,52462078	-44,29609011	2020	CO	EEA	0,016831332	0,011898011	0,029019538	Power	plant	150
-3,55240833	-38,80846389	2017	CO	EEA	0,117987736	0,083405124	0,203427132	Power	plant	130
-3,55240833	-38,80846389	2018	CO	EEA	0,092549691	0,065423058	0,159568433	Power	plant	130
-3,55240833	-38,80846389	2019	CO	EEA	0,094468896	0,066779737	0,162877407	Power	plant	130
-3,55240833	-38,80846389	2020	CO	EEA	0,043219802	0,030551929	0,0745169	Power	plant	130
-31,54575074	-53,65658261	2017	CO	EEA	0,029912869	0,021145304	0,051573912	Power	plant	150
-31,54575074	-53,65658261	2018	CO	EEA	0,029056235	0,020539753	0,050096957	Power	plant	150
-31,54575074	-53,65658261	2019	CO	EEA	0,034203242	0,024178154	0,058971107	Power	plant	150
-31,54575074	-53,65658261	2020	CO	EEA	0,03521819	0,024895617	0,060721017	Power	plant	150
-3,591843	-38,86609011	2017	CO	EEA	0,059790474	0,04226568	0,103087024	Power	plant	150
-3,591843	-38,86609011	2018	CO	EEA	0,046899704	0,033153239	0,080861558	Power	plant	150
