ID	latitude	longitude	year	pollutant	agency	E_original_Gg	E_lower_Gg	E_upper_Gg	industry	height
1	-3,200833	-60,007306	2010	TSP	EPA	0,000275111	0,000275111	0,000275111	Paper and pulp	125
2	-3,200833	-60,007306	2010	PM10	EPA	0,000192578	0,000192578	0,000192578	Paper and pulp	125
3	-3,200833	-60,007306	2010	PM2,5	EPA	0,000137555	0,000137555	0,000137555	Paper and pulp	125
4	-3,200833	-60,007306	2010	SOX	EPA	0,002888665	0,002888665	0,002888665	Paper and pulp	125
5	-3,200833	-60,007306	2010	CO	EPA	0,000302622	0,000302622	0,000302622	Paper and pulp	125
6	-3,200833	-60,007306	2010	NOX	EPA	0,000550222	0,000550222	0,000550222	Paper and pulp	125
7	-3,129547	-60,007325	2010	TSP	EPA	0,000275111	0,000275111	0,000275111	Paper and pulp	125
8	-3,129547	-60,007325	2010	PM10	EPA	0,000192578	0,000192578	0,000192578	Paper and pulp	125
9	-3,129547	-60,007325	2010	PM2,5	EPA	0,000137555	0,000137555	0,000137555	Paper and pulp	125
10	-3,129547	-60,007325	2010	SOX	EPA	0,002888665	0,002888665	0,002888665	Paper and pulp	125
11	-3,129547	-60,007325	2010	CO	EPA	0,000302622	0,000302622	0,000302622	Paper and pulp	125
12	-3,129547	-60,007325	2010	NOX	EPA	0,000550222	0,000550222	0,000550222	Paper and pulp	125
13	-3,108222	-59,959583	2010	TSP	EPA	0,000275111	0,000275111	0,000275111	Paper and pulp	125
14	-3,108222	-59,959583	2010	PM10	EPA	0,000192578	0,000192578	0,000192578	Paper and pulp	125
15	-3,108222	-59,959583	2010	PM2,5	EPA	0,000137555	0,000137555	0,000137555	Paper and pulp	125
16	-3,108222	-59,959583	2010	SOX	EPA	0,002888665	0,002888665	0,002888665	Paper and pulp	125
17	-3,108222	-59,959583	2010	CO	EPA	0,000302622	0,000302622	0,000302622	Paper and pulp	125
18	-3,108222	-59,959583	2010	NOX	EPA	0,000550222	0,000550222	0,000550222	Paper and pulp	125
19	-3,115833	-59,964167	2010	TSP	EPA	0,010414706	0,010414706	0,010414706	Paper and pulp	125
20	-3,115833	-59,964167	2010	PM10	EPA	0,007290294	0,007290294	0,007290294	Paper and pulp	125
21	-3,115833	-59,964167	2010	PM2,5	EPA	0,005207353	0,005207353	0,005207353	Paper and pulp	125
22	-3,115833	-59,964167	2010	SOX	EPA	0,109354412	0,109354412	0,109354412	Paper and pulp	125
23	-3,115833	-59,964167	2010	CO	EPA	0,011456176	0,011456176	0,011456176	Paper and pulp	125
