ID	latitude	longitude	year	pollutant	agency	E_original_Gg	E_lower_Gg	E_upper_Gg	industry	height
1	-23,85222205	-50,3902778	2017	NOX	EPA	0,235766454	0,235766454	0,235766454	Power plants	150
2	-23,85222205	-50,3902778	2018	NOX	EPA	0,229014663	0,229014663	0,229014663	Power plants	150
3	-23,85222205	-50,3902778	2019	NOX	EPA	0,269582205	0,269582205	0,269582205	Power plants	150
4	-23,85222205	-50,3902778	2020	NOX	EPA	0,277581793	0,277581793	0,277581793	Power plants	150
5	-28,45423334	-48,96906967	2017	NOX	EPA	2,73489087	2,73489087	2,73489087	Power plants	150
6	-28,45423334	-48,96906967	2018	NOX	EPA	2,656570086	2,656570086	2,656570086	Power plants	150
7	-28,45423334	-48,96906967	2019	NOX	EPA	3,127153581	3,127153581	3,127153581	Power plants	150
8	-28,45423334	-48,96906967	2020	NOX	EPA	3,219948804	3,219948804	3,219948804	Power plants	150
9	-28,45423333	-48,96906967	2017	NOX	EPA	3,088540551	3,088540551	3,088540551	Power plants	150
10	-28,45423333	-48,96906967	2018	NOX	EPA	3,00009208	3,00009208	3,00009208	Power plants	150
11	-28,45423333	-48,96906967	2019	NOX	EPA	3,531526889	3,531526889	3,531526889	Power plants	150
12	-28,45423333	-48,96906967	2020	NOX	EPA	3,636321494	3,636321494	3,636321494	Power plants	150
13	-28,45423334	-48,96906967	2017	NOX	EPA	4,279161145	4,279161145	4,279161145	Power plants	150
14	-28,45423334	-48,96906967	2018	NOX	EPA	4,156616125	4,156616125	4,156616125	Power plants	150
15	-28,45423334	-48,96906967	2019	NOX	EPA	4,892917026	4,892917026	4,892917026	Power plants	150
16	-28,45423334	-48,96906967	2020	NOX	EPA	5,038109551	5,038109551	5,038109551	Power plants	150
17	-20,10500226	-44,97695126	2017	NOX	EPA	0	0	0	Power plants	150
18	-20,10500226	-44,97695126	2018	NOX	EPA	0	0	0	Power plants	150
19	-27,23360025	-52,0317881	2017	NOX	EPA	0,058941614	0,058941614	0,058941614	Power plants	150
20	-27,23360025	-52,0317881	2018	NOX	EPA	0,057253666	0,057253666	0,057253666	Power plants	150
21	-27,23360025	-52,0317881	2019	NOX	EPA	0,067395551	0,067395551	0,067395551	Power plants	150
22	-27,23360025	-52,0317881	2020	NOX	EPA	0,069395448	0,069395448	0,069395448	Power plants	150
23	-1,54139616	-48,7325286	2017	NOX	EPA	1,076293389	1,076293389	1,076293389	Power plants	150
24	-1,54139616	-48,7325286	2018	NOX	EPA	0,724107446	0,724107446	0,724107446	Power plants	150
25	-1,54139616	-48,7325286	2019	NOX	EPA	0,937566408	0,937566408	0,937566408	Power plants	150
26	-1,54139616	-48,7325286	2020	NOX	EPA	0,669477478	0,669477478	0,669477478	Power plants	150
27	-2,70675716	-44,35099291	2017	NOX	EPA	0,779336981	0,779336981	0,779336981	Power plants	150
28	-2,70675716	-44,35099291	2018	NOX	EPA	0,52432145	0,52432145	0,52432145	Power plants	150
29	-2,70675716	-44,35099291	2019	NOX	EPA	0,678885685	0,678885685	0,678885685	Power plants	150
30	-2,70675716	-44,35099291	2020	NOX	EPA	0,484764249	0,484764249	0,484764249	Power plants	150
31	-2,52462078	-44,29609011	2017	NOX	EPA	3,732288329	3,732288329	3,732288329	Power plants	150
32	-2,52462078	-44,29609011	2018	NOX	EPA	2,51100471	2,51100471	2,51100471	Power plants	150
33	-2,52462078	-44,29609011	2019	NOX	EPA	3,251221461	3,251221461	3,251221461	Power plants	150
34	-2,52462078	-44,29609011	2020	NOX	EPA	2,321563065	2,321563065	2,321563065	Power plants	150
35	-3,55240833	-38,80846389	2017	NOX	EPA	16,27417054	16,27417054	16,27417054	Power plants	150
36	-3,55240833	-38,80846389	2018	NOX	EPA	12,76547466	12,76547466	12,76547466	Power plants	150
37	-3,55240833	-38,80846389	2019	NOX	EPA	13,03019256	13,03019256	13,03019256	Power plants	150
38	-3,55240833	-38,80846389	2020	NOX	EPA	5,961351997	5,961351997	5,961351997	Power plants	150
39	-31,54575074	-53,65658261	2017	NOX	EPA	4,12591295	4,12591295	4,12591295	Power plants	195
40	-31,54575074	-53,65658261	2018	NOX	EPA	4,007756595	4,007756595	4,007756595	Power plants	195
41	-31,54575074	-53,65658261	2019	NOX	EPA	4,717688593	4,717688593	4,717688593	Power plants	195
42	-31,54575074	-53,65658261	2020	NOX	EPA	4,857681386	4,857681386	4,857681386	Power plants	195
43	-3,591843	-38,86609011	2017	NOX	EPA	8,246961914	8,246961914	8,246961914	Power plants	130
44	-3,591843	-38,86609011	2018	NOX	EPA	6,468924675	6,468924675	6,468924675	Power plants	130
45	-3,591843	-38,86609011	2019	NOX	EPA	6,603070895	6,603070895	6,603070895	Power plants	130
46	-3,591843	-38,86609011	2020	NOX	EPA	3,020924647	3,020924647	3,020924647	Power plants	130
47	-31,45092615	-53,77901991	2017	NOX	EPA	4,066971336	4,066971336	4,066971336	Power plants	150
48	-31,45092615	-53,77901991	2018	NOX	EPA	3,950502929	3,950502929	3,950502929	Power plants	150
49	-31,45092615	-53,77901991	2019	NOX	EPA	4,650293041	4,650293041	4,650293041	Power plants	150
50	-31,45092615	-53,77901991	2020	NOX	EPA	4,788285937	4,788285937	4,788285937	Power plants	150
51	-23,85222205	-50,3902778	2017	CO	EPA	0,00098236	0,00098236	0,00098236	Power plants	150
52	-23,85222205	-50,3902778	2018	CO	EPA	0,000954228	0,000954228	0,000954228	Power plants	150
53	-23,85222205	-50,3902778	2019	CO	EPA	0,001123259	0,001123259	0,001123259	Power plants	150
54	-23,85222205	-50,3902778	2020	CO	EPA	0,001156591	0,001156591	0,001156591	Power plants	150
55	-28,45423334	-48,96906967	2017	CO	EPA	0,011395379	0,011395379	0,011395379	Power plants	150
56	-28,45423334	-48,96906967	2018	CO	EPA	0,011069042	0,011069042	0,011069042	Power plants	150
57	-28,45423334	-48,96906967	2019	CO	EPA	0,013029807	0,013029807	0,013029807	Power plants	150
58	-28,45423334	-48,96906967	2020	CO	EPA	0,013416453	0,013416453	0,013416453	Power plants	150
59	-28,45423333	-48,96906967	2017	CO	EPA	0,012868919	0,012868919	0,012868919	Power plants	150
60	-28,45423333	-48,96906967	2018	CO	EPA	0,012500384	0,012500384	0,012500384	Power plants	150
61	-28,45423333	-48,96906967	2019	CO	EPA	0,014714695	0,014714695	0,014714695	Power plants	150
62	-28,45423333	-48,96906967	2020	CO	EPA	0,01515134	0,01515134	0,01515134	Power plants	150
63	-28,45423334	-48,96906967	2017	CO	EPA	0,017829838	0,017829838	0,017829838	Power plants	150
64	-28,45423334	-48,96906967	2018	CO	EPA	0,017319234	0,017319234	0,017319234	Power plants	150
65	-28,45423334	-48,96906967	2019	CO	EPA	0,020387154	0,020387154	0,020387154	Power plants	150
66	-28,45423334	-48,96906967	2020	CO	EPA	0,020992123	0,020992123	0,020992123	Power plants	150
67	-20,10500226	-44,97695126	2017	CO	EPA	0	0	0	Power plants	150
68	-20,10500226	-44,97695126	2018	CO	EPA	0	0	0	Power plants	150
69	-27,23360025	-52,0317881	2017	CO	EPA	0,00024559	0,00024559	0,00024559	Power plants	150
70	-27,23360025	-52,0317881	2018	CO	EPA	0,000238557	0,000238557	0,000238557	Power plants	150
71	-27,23360025	-52,0317881	2019	CO	EPA	0,000280815	0,000280815	0,000280815	Power plants	150
72	-27,23360025	-52,0317881	2020	CO	EPA	0,000289148	0,000289148	0,000289148	Power plants	150
73	-1,54139616	-48,7325286	2017	CO	EPA	0,004484556	0,004484556	0,004484556	Power plants	150
74	-1,54139616	-48,7325286	2018	CO	EPA	0,003017114	0,003017114	0,003017114	Power plants	150
75	-1,54139616	-48,7325286	2019	CO	EPA	0,003906527	0,003906527	0,003906527	Power plants	150
76	-1,54139616	-48,7325286	2020	CO	EPA	0,002789489	0,002789489	0,002789489	Power plants	150
77	-2,70675716	-44,35099291	2017	CO	EPA	0,003247237	0,003247237	0,003247237	Power plants	110
78	-2,70675716	-44,35099291	2018	CO	EPA	0,002184673	0,002184673	0,002184673	Power plants	110
79	-2,70675716	-44,35099291	2019	CO	EPA	0,00282869	0,00282869	0,00282869	Power plants	110
80	-2,70675716	-44,35099291	2020	CO	EPA	0,002019851	0,002019851	0,002019851	Power plants	110
81	-2,52462078	-44,29609011	2017	CO	EPA	0,015551201	0,015551201	0,015551201	Power plants	150
82	-2,52462078	-44,29609011	2018	CO	EPA	0,01046252	0,01046252	0,01046252	Power plants	150
83	-2,52462078	-44,29609011	2019	CO	EPA	0,013546756	0,013546756	0,013546756	Power plants	150
84	-2,52462078	-44,29609011	2020	CO	EPA	0,009673179	0,009673179	0,009673179	Power plants	150
85	-3,55240833	-38,80846389	2017	CO	EPA	0,067809044	0,067809044	0,067809044	Power plants	150
86	-3,55240833	-38,80846389	2018	CO	EPA	0,053189478	0,053189478	0,053189478	Power plants	150
87	-3,55240833	-38,80846389	2019	CO	EPA	0,054292469	0,054292469	0,054292469	Power plants	150
88	-3,55240833	-38,80846389	2020	CO	EPA	0,024838967	0,024838967	0,024838967	Power plants	150
89	-31,54575074	-53,65658261	2017	CO	EPA	0,017191304	0,017191304	0,017191304	Power plants	150
90	-31,54575074	-53,65658261	2018	CO	EPA	0,016698986	0,016698986	0,016698986	Power plants	150
91	-31,54575074	-53,65658261	2019	CO	EPA	0,019657036	0,019657036	0,019657036	Power plants	150
92	-31,54575074	-53,65658261	2020	CO	EPA	0,020240339	0,020240339	0,020240339	Power plants	150
93	-3,591843	-38,86609011	2017	CO	EPA	0,034362341	0,034362341	0,034362341	Power plants	150
94	-3,591843	-38,86609011	2018	CO	EPA	0,026953853	0,026953853	0,026953853	Power plants	150
95	-3,591843	-38,86609011	2019	CO	EPA	0,027512795	0,027512795	0,027512795	Power plants	150
96	-3,591843	-38,86609011	2020	CO	EPA	0,012587186	0,012587186	0,012587186	Power plants	150
97	-31,45092615	-53,77901991	2017	CO	EPA	0,016945714	0,016945714	0,016945714	Power plants	150
98	-31,45092615	-53,77901991	2018	CO	EPA	0,016460429	0,016460429	0,016460429	Power plants	150
99	-31,45092615	-53,77901991	2019	CO	EPA	0,019376221	0,019376221	0,019376221	Power plants	150
100	-31,45092615	-53,77901991	2020	CO	EPA	0,019951191	0,019951191	0,019951191	Power plants	150
101	-23,85222205	-50,3902778	2017	NMVOCs	EPA	0,009823602	0,009823602	0,009823602	Power plants	150
102	-23,85222205	-50,3902778	2018	NMVOCs	EPA	0,009542278	0,009542278	0,009542278	Power plants	150
